"qry_transcript_id","ref_gene_id","qry_gene_id","ref_gene_name","gene_annotation","ref_transcript_id","ref_transcript_name","class_code","female_log2FoldChange"
"TU21965","LOC111507784","G12338","N-acetyltransferase 9-like protein","refseq","XM_023163139.1","N-acetyltransferase 9-like protein","=",0.436061563818912
"TU21961","LOC111507787","G12334","musculin-like","refseq","XM_023163143.1","musculin-like","=",1.04287199987423
"TU45175",NA,"G26898","* ---NA---","novel",NA,"---NA---","u",0.516884928287031
"TU42801","LOC111515950","G25096","multidrug resistance-associated protein 4-like","refseq","XM_023172143.1","multidrug resistance-associated protein 4-like","i",2.14126884059593
"TU42806","LOC111515953","G25101","ATP-binding cassette sub-family G member 4-like","refseq","XM_023172147.1","ATP-binding cassette sub-family G member 4-like","=",-1.26956588989766
"TU42804",NA,"G25099","* dual specificity protein kinase splB-like ","novel","XP_023024108","dual specificity protein kinase splB-like isoform X1","u",-0.948786157448413
"TU42805","LOC111515952","G25100","uncharacterized LOC111515952","refseq","XM_023172146.1","uncharacterized LOC111515952","=",2.23254312816057
"TU8567","LOC111502559","G4773","exosome complex component RRP41","refseq","XM_023156663.1","exosome complex component RRP41","=",-0.364628320650223
"TU849",NA,"G440","* protein C-ets-1 ","novel","KAG5882200","protein C-ets-1 isoform X1","u",-5.10463667311248
"TU18341",NA,"G10296","* probable ubiquitin carboxyl-terminal hydrolase FAF-X","novel","KAG5895508","probable ubiquitin carboxyl-terminal hydrolase FAF-X","u",1.39791677382745
"TU18347",NA,"G10299","* ---NA---","novel",NA,"---NA---","r",-5.70094521088869
"TU28717",NA,"G16241","* centromere protein F-like","novel","VEN47585","centromere protein F-like","u",-1.14566887296916
"TU28715","LOC111510368","G16240","SUN domain-containing protein 2-like","refseq","XM_023166277.1","SUN domain-containing protein 2-like, transcript variant X1","j",-18.3618578442416
"TU28712","LOC111510371","G16239","trypsin-1-like","refseq","XM_023166279.1","trypsin-1-like","j",-1.1969782186417
"TU14445","LOC111504886","G8122","autophagy protein 5","refseq","XM_023159592.1","autophagy protein 5","=",-0.938663539533069
"TU11545",NA,"G6440","* ---NA---","novel",NA,"---NA---","u",0.751329479750931
"TU11548","LOC111503709","G6442","ralA-binding protein 1-like","refseq","XM_023158081.1","ralA-binding protein 1-like","j",22.3368450389934
"TU7385","LOC111502060","G4113","probable protein S-acyltransferase 23","refseq","XM_023156024.1","probable protein S-acyltransferase 23","c",1.30499261168138
"TU13940","LOC111504689","G7843","elongation of very long chain fatty acids protein AAEL008004-like","refseq","XM_023159364.1","elongation of very long chain fatty acids protein AAEL008004-like","=",-3.34393511296507
"TU14996","LOC111505113","G8451","E3 ubiquitin-protein ligase Ubr3","refseq","XM_023159869.1","E3 ubiquitin-protein ligase Ubr3","o",-0.690640771010602
"TU14999","LOC111505116","G8453","translation factor GUF1 homolog","refseq","XM_023159871.1","translation factor GUF1 homolog, mitochondrial","k",24.1737372588832
"TU30761","LOC111511200","G17456","putative inorganic phosphate cotransporter","refseq","XM_023167211.1","putative inorganic phosphate cotransporter, transcript variant X2","=",-4.54488643632899
"TU6264","LOC111518131","G3456","zinc finger protein 99-like","refseq","XM_023174486.1","zinc finger protein 99-like","=",-1.05096182592794
"TU34771","LOC111512746","G19906","dentin sialophosphoprotein-like","refseq","XM_023168896.1","dentin sialophosphoprotein-like","=",-1.37116794724672
"TU33178",NA,"G18953","* ---NA---","novel",NA,"---NA---","u",0.534282180222923
"TU43730",NA,"G25784","* peroxidase-like","novel","XP_023023759","peroxidase-like","u",-8.47613935992457
"TU475","LOC111517438","G244","uncharacterized LOC111517438","refseq","XR_002723819.1","uncharacterized LOC111517438","o",1.04088971112266
"TU37457","LOC111513768","G21577","juvenile hormone acid O-methyltransferase-like","refseq","XM_023169995.1","juvenile hormone acid O-methyltransferase-like","k",-0.86757355364441
"TU37450","LOC111513765","G21572","la-related protein 1B","refseq","XM_023169992.1","la-related protein 1B","j",-0.906302801742398
"TU37453","LOC111513765","G21573","la-related protein 1B","refseq","XM_023169992.1","la-related protein 1B","e",-1.0147935224005
"TU37452","LOC111513765","G21573","la-related protein 1B","refseq","XM_023169992.1","la-related protein 1B","j",-1.2401651330339
"TU44289",NA,"G26221","* stress response protein NST1-like","novel","KAG5874407","stress response protein NST1-like","u",-3.95480292499199
"TU44287","LOC111516601","G26220","uncharacterized LOC111516601","refseq","XM_023172749.1","uncharacterized LOC111516601","j",0.661458644377167
"TU31317","LOC111511418","G17791","uncharacterized LOC111511418","refseq","XR_002722922.1","uncharacterized LOC111511418","k",1.11914750154921
"TU1771","LOC111506033","G937","CREB-binding protein-like","refseq","XM_023160962.1","CREB-binding protein-like","=",-0.4479946734292
"TU34895","LOC111512788","G19978","RNA-binding protein 40","refseq","XM_023168946.1","RNA-binding protein 40","j",0.923261517687848
"TU34899","LOC111512790","G19980","ubiquitin carboxyl-terminal hydrolase 8-like","refseq","XM_023168949.1","ubiquitin carboxyl-terminal hydrolase 8-like","j",-0.82986274885667
"TU22289","LOC111507905","G12529","anosmin-1-like","refseq","XM_023163287.1","anosmin-1-like","k",1.51246574722059
"TU28246","LOC111510193","G15948","uncharacterized LOC111510193","refseq","XM_023166083.1","uncharacterized LOC111510193, transcript variant X1","j",1.0014871331198
"TU34232","LOC111512540","G19564","uncharacterized LOC111512540","refseq","XR_002723085.1","uncharacterized LOC111512540","x",18.4815766160584
"TU3194","LOC111512773","G1720","MORN repeat-containing protein 3-like","refseq","XM_023168928.1","MORN repeat-containing protein 3-like","j",22.8147266098473
"TU9225",NA,"G5153","* calponin homology domain-containing protein DDB_G0272472 ","novel","KAG5865899","calponin homology domain-containing protein DDB_G0272472 isoform X1","u",0.564713917527056
"TU9105","LOC111502773","G5086","uncharacterized LOC111502773","refseq","XM_023156927.1","uncharacterized LOC111502773","j",-3.52680988911735
"TU9106","LOC111502778","G5087","mRNA-capping enzyme-like","refseq","XM_023156931.1","mRNA-capping enzyme-like","=",-0.621705608297601
"TU22903","LOC111508130","G12885","putative zinc finger and SCAN domain-containing protein 5C","refseq","XM_023163554.1","putative zinc finger and SCAN domain-containing protein 5C","x",-0.707428071066409
"TU39503","LOC111514586","G22875","cell surface glycoprotein 1-like","refseq","XM_023170845.1","cell surface glycoprotein 1-like","j",29.0416354676961
"TU39507","LOC111514589","G22879","probable cytochrome P450 12a5","refseq","XM_023170848.1","probable cytochrome P450 12a5, mitochondrial","j",-2.04630428039117
"TU23050","LOC111508207","G12971","origin recognition complex subunit 1","refseq","XM_023163645.1","origin recognition complex subunit 1","j",-0.850045901801668
"TU23059","LOC111508210","G12979","cytosolic beta-glucosidase-like","refseq","XM_023163648.1","cytosolic beta-glucosidase-like","i",-10.5235520552434
"TU20888","LOC111507368","G11732","uncharacterized LOC111507368","refseq","XR_002722386.1","uncharacterized LOC111507368","=",1.18954235972008
"TU31367","LOC111511438","G17820","uncharacterized LOC111511438","refseq","XM_023167451.1","uncharacterized LOC111511438","j",-9.12939407642891
"TU27904","LOC111510062","G15767","uncharacterized protein DDB_G0290685-like","refseq","XM_023165920.1","uncharacterized protein DDB_G0290685-like","k",-5.30764670176434
"TU10964","LOC111503492","G6125","uncharacterized LOC111503492","refseq","XM_023157799.1","uncharacterized LOC111503492, transcript variant X3","j",13.6211118341376
"TU10965","LOC111503492","G6125","uncharacterized LOC111503492","refseq","XM_023157799.1","uncharacterized LOC111503492, transcript variant X3","j",-26.3403729296946
"TU24259","LOC111508676","G13660","peptide transporter family 1-like","refseq","XM_023164255.1","peptide transporter family 1-like","n",-21.3303424988054
"TU24258","LOC111508676","G13660","peptide transporter family 1-like","refseq","XM_023164255.1","peptide transporter family 1-like","j",-2.35561028304591
"TU33788",NA,"G19330","* ---NA---","novel",NA,"---NA---","u",-1.63394578404693
"TU15877","LOC111505459","G8948","uncharacterized LOC111505459","refseq","XM_023160268.1","uncharacterized LOC111505459","j",-6.49992591949268
"TU15874","LOC111505457","G8946","uncharacterized LOC111505457","refseq","XM_023160266.1","uncharacterized LOC111505457","j",-1.62290992129079
"TU21026","LOC111507426","G11814","uncharacterized LOC111507426","refseq","XM_023162720.1","uncharacterized LOC111507426, transcript variant X1","=",1.05449582824279
"TU12472","LOC111504080","G6969","adult-specific cuticular protein ACP-22-like","refseq","XM_023158567.1","adult-specific cuticular protein ACP-22-like","j",-2.08649246629292
"TU35818",NA,"G20565","* ---NA---","novel",NA,"---NA---","u",-7.9508375618472
"TU38574",NA,"G22296","* potassium voltage-gated channel subfamily H member 6-like","novel","KAG5865209","potassium voltage-gated channel subfamily H member 6-like","u",1.19308085261248
"TU25618","LOC111509190","G14425","mucin-5AC-like","refseq","XM_023164882.1","mucin-5AC-like","n",-2.64138350232867
"TU25610","LOC111509190","G14425","mucin-5AC-like","refseq","XM_023164882.1","mucin-5AC-like","n",-1.19793379555687
"TU15295","LOC111505248","G8629","glucose dehydrogenase [FAD","refseq","XM_023160026.1","glucose dehydrogenase [FAD, quinone]-like","j",-12.5296863128621
"TU28691","LOC111510356","G16226","PQ-loop repeat-containing protein 1","refseq","XM_023166260.1","PQ-loop repeat-containing protein 1, transcript variant X2","=",-0.9686492846939
"TU23315","LOC111508325","G13117","hepatocyte nuclear factor 4-gamma","refseq","XM_023163780.1","hepatocyte nuclear factor 4-gamma, transcript variant X3","=",-0.819403706016509
"TU23314","LOC111508325","G13117","hepatocyte nuclear factor 4-gamma","refseq","XM_023163783.1","hepatocyte nuclear factor 4-gamma, transcript variant X6","=",-1.17254740131047
"TU18069",NA,"G10154","* dynactin subunit 1","novel","XP_023020056","dynactin subunit 1","u",-2.57086538229808
"TU18068","LOC111506261","G10153","zinc transporter 7","refseq","XM_023161285.1","zinc transporter 7","k",-0.610261528383203
"TU17561",NA,"G9891","* PREDICTED: uncharacterized protein LOC107066213","novel","XP_015176122","PREDICTED: uncharacterized protein LOC107066213","u",-2.1673210382124
"TU17568","LOC111506104","G9896","uncharacterized LOC111506104","refseq","XR_002722223.1","uncharacterized LOC111506104","j",0.652584434723997
"TU35301","LOC111512938","G20218","kinesin-like protein Klp98A","refseq","XM_023169103.1","kinesin-like protein Klp98A","=",-1.44944413344385
"TU40723",NA,"G23670","* hypothetical protein B7P43_G10863","novel","PNF22616","hypothetical protein B7P43_G10863","r",1.09631144080703
"TU40727",NA,"G23673","* ---NA---","novel",NA,"---NA---","u",-2.7304204066341
"TU5905","LOC111517980","G3269","dedicator of cytokinesis protein 9","refseq","XM_023174280.1","dedicator of cytokinesis protein 9","o",-0.847013744817672
"TU5904","LOC111517980","G3268","dedicator of cytokinesis protein 9","refseq","XM_023174280.1","dedicator of cytokinesis protein 9","e",-2.00233158203445
"TU5901","LOC111517989","G3266","uncharacterized LOC111517989","refseq","XM_023174296.1","uncharacterized LOC111517989","k",-2.06949254369409
"TU5902","LOC111517980","G3267","dedicator of cytokinesis protein 9","refseq","XM_023174280.1","dedicator of cytokinesis protein 9","j",-2.07485371610918
"TU40302",NA,"G23397","* huntingtin-interacting protein 1-like","novel","VEN49602","huntingtin-interacting protein 1-like","u",0.654636126249406
"TU4076","LOC111517206","G2237","maestro heat-like repeat-containing protein family member 1","refseq","XM_023173281.1","maestro heat-like repeat-containing protein family member 1","=",0.396926852447256
"TU42385","LOC111515776","G24817","uncharacterized LOC111515776","refseq","XM_023171979.1","uncharacterized LOC111515776","=",0.836493198944491
"TU42387","LOC111515779","G24819","guanine nucleotide-binding protein subunit beta-like protein","refseq","XM_023171983.1","guanine nucleotide-binding protein subunit beta-like protein, transcript variant X1","=",0.555619075929365
"TU40802",NA,"G23729","* serum response factor homolog ","novel","KAG5895590","serum response factor homolog isoform X1","u",-0.850435583053973
"TU38924","LOC111514341","G22513","uncharacterized LOC111514341","refseq","XR_002723347.1","uncharacterized LOC111514341, transcript variant X2","k",1.69111170545953
"TU16387","LOC111505652","G9222","neural-cadherin-like","refseq","XM_023160493.1","neural-cadherin-like","j",-18.0029193548737
"TU16383","LOC111505650","G9220","potassium voltage-gated channel protein Shab-like","refseq","XM_023160492.1","potassium voltage-gated channel protein Shab-like","j",1.50163083140284
"TU33078","LOC111512127","G18901","DNA ligase 3","refseq","XM_023168224.1","DNA ligase 3","=",-0.959941953303558
"TU33072","LOC111512125","G18897","uncharacterized LOC111512125","refseq","XM_023168220.1","uncharacterized LOC111512125, transcript variant X1","k",1.06074159152577
"TU4695","LOC111517491","G2605","uncharacterized LOC111517491","refseq","XM_023173665.1","uncharacterized LOC111517491","=",-1.49664456120166
"TU626","LOC111518244","G327","polycystic kidney disease protein 1-like 2","refseq","XM_023174641.1","polycystic kidney disease protein 1-like 2","j",-4.25273417377903
"TU9342","LOC111502878","G5239","cell division cycle protein 16 homolog","refseq","XM_023157042.1","cell division cycle protein 16 homolog","=",0.84367934451101
"TU8211","LOC111502405","G4563","supervillin-like","refseq","XM_023156481.1","supervillin-like","=",1.15852102031602
"TU44683","LOC111516768","G26516","keratin-associated protein 10-7","refseq","XM_023172882.1","keratin-associated protein 10-7","j",1.92300658756546
"TU26466",NA,"G14941","* ---NA---","novel",NA,"---NA---","u",1.19312664368906
"TU7417","LOC111502084","G4131","Niemann-Pick C1 protein-like","refseq","XM_023156058.1","Niemann-Pick C1 protein-like","j",1.37461890389722
"TU7411","LOC111502074","G4128","uncharacterized LOC111502074","refseq","XM_023156042.1","uncharacterized LOC111502074","j",0.916563268121223
"TU7419",NA,"G4133","* ---NA---","novel",NA,"---NA---","u",-0.710412177693125
"TU27739","LOC111510010","G15670","serine protease 7-like","refseq","XM_023165867.1","serine protease 7-like","k",26.8015074223763
"TU39621",NA,"G22948","* glutamate receptor ionotropic, kainate 2-like ","novel","XP_018578369","glutamate receptor ionotropic, kainate 2-like isoform X2","u",1.36937383318854
"TU39622",NA,"G22948","* glutamate receptor ionotropic, kainate 2-like ","novel","XP_018578370","glutamate receptor ionotropic, kainate 2-like isoform X1","u",4.55391316286779
"TU5129","LOC111517705","G2862","spermatogenesis-associated protein 17-like","refseq","XM_023173926.1","spermatogenesis-associated protein 17-like","=",-2.0451466416355
"TU5122","LOC111517704","G2856","oocyte zinc finger protein XlCOF6-like","refseq","XM_023173925.1","oocyte zinc finger protein XlCOF6-like","j",-4.70177246002929
"TU20576","LOC111507247","G11544","uncharacterized LOC111507247","refseq","XM_023162534.1","uncharacterized LOC111507247","j",-24.8113940662
"TU4448","LOC111517357","G2450","membrane alanyl aminopeptidase-like","refseq","XM_023173489.1","membrane alanyl aminopeptidase-like, transcript variant X1","=",-10.5487338549695
"TU31294","LOC111511411","G17773","4-aminobutyrate aminotransferase","refseq","XM_023167425.1","4-aminobutyrate aminotransferase, mitochondrial-like","j",-1.20459937546677
"TU4441","LOC111517354","G2447","solute carrier family 12 member 9","refseq","XM_023173486.1","solute carrier family 12 member 9","=",-0.709901575206171
"TU4447","LOC111517357","G2450","membrane alanyl aminopeptidase-like","refseq","XM_023173491.1","membrane alanyl aminopeptidase-like, transcript variant X3","=",-1.4903329230447
"TU4444","LOC111517354","G2448","solute carrier family 12 member 9","refseq","XM_023173486.1","solute carrier family 12 member 9","y",-1.38034104331149
"TU36556","LOC111513427","G21003","odorant receptor 43a-like","refseq","XM_023169634.1","odorant receptor 43a-like","j",-8.13632299437562
"TU8759","LOC111502645","G4903","DNA topoisomerase I","refseq","XM_023156770.1","DNA topoisomerase I, mitochondrial","m",-0.801624230898004
"TU8750","LOC111502640","G4894","RNA polymerase II subunit A C-terminal domain phosphatase SSU72-like","refseq","XM_023156763.1","RNA polymerase II subunit A C-terminal domain phosphatase SSU72-like","=",-0.346449811687422
"TU24983","LOC111508950","G14059","uncharacterized LOC111508950","refseq","XM_023164605.1","uncharacterized LOC111508950","j",-0.936121635115164
"TU24986","LOC111508954","G14062","uncharacterized LOC111508954","refseq","XR_002722589.1","uncharacterized LOC111508954, transcript variant X2","x",-4.11572979432223
"TU25052","LOC111508978","G14100","AT-rich interactive domain-containing protein 2","refseq","XM_023164636.1","AT-rich interactive domain-containing protein 2, transcript variant X2","j",1.3236257975004
"TU32718","LOC111511988","G18678","GTP-binding protein 10","refseq","XM_023168071.1","GTP-binding protein 10","=",0.614399686609725
"TU22207","LOC111507885","G12486","putative nuclease HARBI1","refseq","XM_023163265.1","putative nuclease HARBI1","n",-1.69404366105702
"TU12520","LOC111504104","G7002","glucose dehydrogenase [FAD","refseq","XM_023158595.1","glucose dehydrogenase [FAD, quinone]-like","j",-1.42373356090378
"TU41039",NA,"G23886","* ---NA---","novel",NA,"---NA---","u",-2.31040888918274
"TU41035","LOC111515224","G23886","equilibrative nucleoside transporter 1-like","refseq","XM_023171452.1","equilibrative nucleoside transporter 1-like","j",-1.8976550997741
"TU38178","LOC111514046","G22036","probable ATP-dependent RNA helicase DDX28","refseq","XM_023170279.1","probable ATP-dependent RNA helicase DDX28, transcript variant X1","=",-0.561840053642722
"TU17810","LOC111506177","G10019","ATP-binding cassette sub-family B member 6","refseq","XM_023161180.1","ATP-binding cassette sub-family B member 6, mitochondrial","j",-0.459570086171561
"TU16148","LOC111505561","G9100","relaxin receptor 1-like","refseq","XM_023160388.1","relaxin receptor 1-like","=",-1.87039270263001
"TU21274","LOC111507513","G11949","uncharacterized LOC111507513","refseq","XM_023162826.1","uncharacterized LOC111507513","=",-0.787104674235456
"TU4457","LOC111517361","G2456","uncharacterized LOC111517361","refseq","XM_023173497.1","uncharacterized LOC111517361","j",1.19971268218728
"TU43056","LOC111516061","G25282","neprilysin-2-like","refseq","XM_023172246.1","neprilysin-2-like","=",1.1538133229474
"TU12535",NA,"G7014","* NFX1-type zinc finger-containing protein 1 ","novel","KAG5881475","NFX1-type zinc finger-containing protein 1 isoform X1","u",1.20369144272538
"TU12530","LOC111504102","G7010","phospholipid hydroperoxide glutathione peroxidase","refseq","XM_023158593.1","phospholipid hydroperoxide glutathione peroxidase, mitochondrial-like","=",1.61959981055984
"TU43041","LOC111516053","G25271","uncharacterized LOC111516053","refseq","XR_002723625.1","uncharacterized LOC111516053","=",-0.793461911801971
"TU43046","LOC111516056","G25274","vacuolar protein sorting-associated protein 54-like","refseq","XM_023172242.1","vacuolar protein sorting-associated protein 54-like","=",-0.695910025432977
"TU358","LOC111514851","G187","sortilin-related receptor-like","refseq","XM_023171123.1","sortilin-related receptor-like","m",-1.62385436984244
"TU359","LOC111514650","G187","sortilin-related receptor-like","refseq","XM_023170932.1","sortilin-related receptor-like","=",-1.43630405680773
"TU19505","LOC111506822","G10935","kelch-like ECH-associated protein 1","refseq","XM_023162027.1","kelch-like ECH-associated protein 1, transcript variant X1","=",-2.51261790534048
"TU19504","LOC111506822","G10935","kelch-like ECH-associated protein 1","refseq","XM_023162027.1","kelch-like ECH-associated protein 1, transcript variant X1","j",-24.7769304628204
"TU19501","LOC111506820","G10934","coatomer subunit alpha","refseq","XM_023162026.1","coatomer subunit alpha","=",0.356385741273296
"TU19509","LOC111506832","G10939","MICOS complex subunit MIC10-like","refseq","XM_023162044.1","MICOS complex subunit MIC10-like","=",-0.982333332103459
"TU19508","LOC111506825","G10938","dnaJ homolog subfamily C member 16","refseq","XM_023162032.1","dnaJ homolog subfamily C member 16","=",-0.527210228050902
