"qry_transcript_id","ref_gene_id","qry_gene_id","ref_gene_name","gene_annotation","ref_transcript_id","ref_transcript_name","class_code","male_log2FoldChange"
"TU27639","LOC111509964","G15607","calcium-transporting ATPase type 2C member 1","refseq","XM_023165826.1","calcium-transporting ATPase type 2C member 1","c",1.87169369469806
"TU37695",NA,"G21729","* laminin subunit gamma-1-like","novel","KAG5898185","laminin subunit gamma-1-like","u",1.20652727343926
"TU37693",NA,"G21727","* probable ATP-dependent RNA helicase ddx42","novel","XP_023020466","probable ATP-dependent RNA helicase ddx42","u",-1.30646822361222
"TU27654","LOC111509972","G15616","acidic leucine-rich nuclear phosphoprotein 32 family member A","refseq","XM_023165838.1","acidic leucine-rich nuclear phosphoprotein 32 family member A","=",0.626184328744632
"TU27655","LOC111509977","G15617","uncharacterized LOC111509977","refseq","XR_002722706.1","uncharacterized LOC111509977","=",1.19695838988369
"TU9609","LOC111502948","G5372","ataxin-2-like protein","refseq","XM_023157140.1","ataxin-2-like protein, transcript variant X2","=",0.679714807864271
"TU36126","LOC111513268","G20748","probable RNA-directed DNA polymerase from transposon BS","refseq","XM_023169450.1","probable RNA-directed DNA polymerase from transposon BS","j",21.9760972466741
"TU36120","LOC111513266","G20744","cytochrome P450 6k1-like","refseq","XM_023169448.1","cytochrome P450 6k1-like","j",-20.9237875660683
"TU24355","LOC111508713","G13716","zinc finger protein OZF-like","refseq","XM_023164309.1","zinc finger protein OZF-like, transcript variant X4","=",-1.60162318442836
"TU39096","LOC111514414","G22622","F-BAR domain only protein 2-like","refseq","XM_023170653.1","F-BAR domain only protein 2-like","j",0.960468738516095
"TU12150","LOC111503957","G6794","glutamic acid-rich protein-like","refseq","XM_023158406.1","glutamic acid-rich protein-like, transcript variant X2","=",0.788506714283539
"TU21387","LOC111507548","G12009","double-stranded RNA-binding protein Staufen homolog","refseq","XM_023162876.1","double-stranded RNA-binding protein Staufen homolog, transcript variant X3","i",-0.958665513184537
"TU27521","LOC111509919","G15531","uncharacterized LOC111509919","refseq","XM_023165779.1","uncharacterized LOC111509919","k",-2.21421206604914
"TU27523","LOC111509921","G15532","uncharacterized LOC111509921","refseq","XM_023165781.1","uncharacterized LOC111509921","=",2.04499061731385
"TU19169","LOC111506666","G10757","uncharacterized LOC111506666","refseq","XM_023161797.1","uncharacterized LOC111506666","j",-21.4419218077032
"TU19161",NA,"G10755","* ---NA---","novel",NA,"---NA---","u",-2.0223954750568
"TU19167","LOC111506666","G10757","uncharacterized LOC111506666","refseq","XM_023161797.1","uncharacterized LOC111506666","j",20.9980310757605
"TU15313","LOC111505241","G8642","zinc finger RNA-binding protein-like","refseq","XM_023160016.1","zinc finger RNA-binding protein-like, transcript variant X1","j",24.7461838925157
"TU15317","LOC111505238","G8643","programmed cell death 6-interacting protein","refseq","XM_023160012.1","programmed cell death 6-interacting protein","c",0.873425748553425
"TU15319","LOC111505244","G8644","2-oxoisovalerate dehydrogenase subunit alpha","refseq","XM_023160019.1","2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial","=",-0.684819222771654
"TU45171","LOC111517018","G26894","annexin B9-like","refseq","XM_023173075.1","annexin B9-like","=",0.91289157042469
"TU842","LOC111502462","G436","30S ribosomal protein S11","refseq","XM_023156548.1","30S ribosomal protein S11","j",22.2797703448995
"TU847","LOC111502527","G439","probable cleavage and polyadenylation specificity factor subunit 2","refseq","XM_023156630.1","probable cleavage and polyadenylation specificity factor subunit 2, transcript variant X1","j",1.2259790918186
"TU18340",NA,"G10296","* probable ubiquitin carboxyl-terminal hydrolase FAF-X","novel","KAG5895508","probable ubiquitin carboxyl-terminal hydrolase FAF-X","u",-20.4200900129519
"TU14444","LOC111504893","G8121","probable ATP-dependent RNA helicase pitchoune","refseq","XM_023159604.1","probable ATP-dependent RNA helicase pitchoune","c",-0.833637717742341
"TU7383","LOC111502064","G4111","juvenile hormone acid O-methyltransferase-like","refseq","XM_023156029.1","juvenile hormone acid O-methyltransferase-like","p",-2.342630931268
"TU7382","LOC111502064","G4111","juvenile hormone acid O-methyltransferase-like","refseq","XM_023156029.1","juvenile hormone acid O-methyltransferase-like","y",-2.23476276279846
"TU33200",NA,"G18970","* Transposon Ty3-I Gag-Pol polyprotein","novel","CAB3248810","Transposon Ty3-I Gag-Pol polyprotein","u",-0.800561607621447
"TU479","LOC111517446","G246","nose resistant to fluoxetine protein 6-like","refseq","XM_023173609.1","nose resistant to fluoxetine protein 6-like, transcript variant X1","c",2.04213277300421
"TU2541","LOC111509492","G1360","serine/arginine repetitive matrix protein 1","refseq","XM_023165290.1","serine/arginine repetitive matrix protein 1, transcript variant X6","j",0.964863068189616
"TU2543","LOC111509492","G1360","serine/arginine repetitive matrix protein 1","refseq","XM_023165290.1","serine/arginine repetitive matrix protein 1, transcript variant X6","j",0.997661047908848
"TU44425","LOC111516652","G26319","rho GTPase-activating protein gacII-like","refseq","XM_023172794.1","rho GTPase-activating protein gacII-like","=",0.799312068218544
"TU781","LOC111502215","G400","protein transport protein Sec16A","refseq","XM_023156255.1","protein transport protein Sec16A, transcript variant X5","n",-1.57803099995802
"TU44284","LOC111516600","G26217","glycogen-binding subunit 76A-like","refseq","XM_023172748.1","glycogen-binding subunit 76A-like","j",1.40043094036671
"TU38433","LOC111514155","G22201","sodium/potassium-transporting ATPase subunit alpha-like","refseq","XM_023170391.1","sodium/potassium-transporting ATPase subunit alpha-like","=",1.53672426788383
"TU34893","LOC111512786","G19977","ADP-ribosylation factor-like protein 4C","refseq","XM_023168938.1","ADP-ribosylation factor-like protein 4C, transcript variant X1","c",-1.62353201877954
"TU34894","LOC111512786","G19977","ADP-ribosylation factor-like protein 4C","refseq","XM_023168943.1","ADP-ribosylation factor-like protein 4C, transcript variant X5","c",-4.47479792073267
"TU34898","LOC111512790","G19980","ubiquitin carboxyl-terminal hydrolase 8-like","refseq","XM_023168949.1","ubiquitin carboxyl-terminal hydrolase 8-like","=",0.624291908172249
"TU45188",NA,"G26907","* ---NA---","novel",NA,"---NA---","u",10.5022258096397
"TU23778","LOC111508508","G13387","translocation protein SEC63 homolog","refseq","XM_023164031.1","translocation protein SEC63 homolog","=",0.849497546779857
"TU3191","LOC111512783","G1719","calcium release-activated calcium channel protein 1-like","refseq","XM_023168972.1","calcium release-activated calcium channel protein 1-like, transcript variant X5","k",5.43172149610328
"TU3196","LOC111512821","G1722","zinc finger CCHC domain-containing protein 8 homolog","refseq","XM_023168990.1","zinc finger CCHC domain-containing protein 8 homolog","=",0.518469005765796
"TU8360",NA,"G4652","* hypothetical protein JTB14_012796","novel","KAG5900123","hypothetical protein JTB14_012796","r",-7.7075520335118
"TU29357","LOC111510625","G16611","probable splicing factor","refseq","XM_023166548.1","probable splicing factor, arginine/serine-rich 7","j",-0.320399829634736
"TU22909","LOC111508148","G12889","zinc finger protein OZF-like","refseq","XM_023163572.1","zinc finger protein OZF-like","=",0.968108051838794
"TU39500","LOC111514584","G22873","splicing factor U2af 38 kDa subunit","refseq","XM_023170843.1","splicing factor U2af 38 kDa subunit","j",0.61709515686194
"TU23057","LOC111508213","G12977","ornithine decarboxylase 1-like","refseq","XM_023163650.1","ornithine decarboxylase 1-like","i",-0.693142754127852
"TU20881","LOC111507365","G11728","proton-coupled amino acid transporter-like protein pathetic","refseq","XM_023162662.1","proton-coupled amino acid transporter-like protein pathetic, transcript variant X1","j",-23.5124879993329
"TU37152",NA,"G21385","* uncharacterized protein LOC114346723, partial","novel","XP_028153276","uncharacterized protein LOC114346723, partial","u",1.86894273356746
"TU37153","LOC111513657","G21386","phosphomevalonate kinase","refseq","XM_023169875.1","phosphomevalonate kinase","j",-0.700326872383421
"TU20773",NA,"G11671","* G2/mitotic-specific cyclin-B","novel","PSN40499","G2/mitotic-specific cyclin-B","u",-6.21388274425261
"TU43976","LOC111516464","G25986","probable cytochrome P450 12a5","refseq","XM_023172621.1","probable cytochrome P450 12a5, mitochondrial","n",-21.6073257823471
"TU13433","LOC111504511","G7567","potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1-like","refseq","XM_023159074.1","potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1-like","j",20.9985494436235
"TU13436","LOC111504513","G7570","uncharacterized LOC111504513","refseq","XR_002722014.1","uncharacterized LOC111504513","=",-0.744439301939439
"TU24257","LOC111508676","G13660","peptide transporter family 1-like","refseq","XM_023164255.1","peptide transporter family 1-like","n",-2.61882977323139
"TU15878","LOC111505459","G8948","uncharacterized LOC111505459","refseq","XM_023160268.1","uncharacterized LOC111505459","j",1.2655946301171
"TU21021","LOC111507422","G11809","mediator of RNA polymerase II transcription subunit 19","refseq","XM_023162715.1","mediator of RNA polymerase II transcription subunit 19","=",-0.649956387733545
"TU22590","LOC111508021","G12708","protein tramtrack","refseq","XM_023163438.1","protein tramtrack, beta isoform-like, transcript variant X1","k",11.493550166325
"TU29658","LOC111510762","G16787","uncharacterized LOC111510762","refseq","XR_002722829.1","uncharacterized LOC111510762","k",0.710363667014924
"TU25616","LOC111509190","G14425","mucin-5AC-like","refseq","XM_023164882.1","mucin-5AC-like","o",21.5637714106675
"TU15293","LOC111505234","G8627","uncharacterized LOC111505234","refseq","XM_023160008.1","uncharacterized LOC111505234","j",21.9751796524428
"TU19730","LOC111506914","G11064","probable N-acetylgalactosaminyltransferase 9","refseq","XM_023162135.1","probable N-acetylgalactosaminyltransferase 9","j",17.6961974872733
"TU19732","LOC111506918","G11066","centrosome-associated zinc finger protein CP190","refseq","XM_023162139.1","centrosome-associated zinc finger protein CP190","j",0.615108728916561
"TU15122","LOC111505160","G8528","intron-binding protein aquarius-like","refseq","XM_023159929.1","intron-binding protein aquarius-like","c",1.00205123709031
"TU10515","LOC111503325","G5890","SH3 and multiple ankyrin repeat domains protein 3-like","refseq","XM_023157608.1","SH3 and multiple ankyrin repeat domains protein 3-like, transcript variant X3","=",2.33623480752978
"TU18060","LOC111506253","G10145","zinc finger protein 271-like","refseq","XM_023161267.1","zinc finger protein 271-like, transcript variant X1","k",8.72313883138212
"TU17567","LOC111506106","G9895","protein groucho-like","refseq","XM_023161055.1","protein groucho-like","i",-1.40448134329634
"TU17566","LOC111506106","G9894","protein groucho-like","refseq","XM_023161055.1","protein groucho-like","p",-1.31641665094969
"TU17387","LOC111506035","G9798","FERM domain-containing protein 3-like","refseq","XM_023160960.1","FERM domain-containing protein 3-like","j",22.26474343174
"TU17385","LOC111506039","G9797","xaa-Pro dipeptidase","refseq","XM_023160963.1","xaa-Pro dipeptidase, transcript variant X1","j",24.7849813985993
"TU17382","LOC111506039","G9797","xaa-Pro dipeptidase","refseq","XM_023160963.1","xaa-Pro dipeptidase, transcript variant X1","j",-1.38664579086052
"TU40307",NA,"G23402","* Hermansky-Pudlak syndrome 1 protein homolog","novel","XP_023015167","Hermansky-Pudlak syndrome 1 protein homolog","u",-0.800332149432544
"TU42389",NA,"G24821","* ---NA---","novel",NA,"---NA---","u",1.27569793174542
"TU42388","LOC111515778","G24820","cleavage and polyadenylation specificity factor subunit 5","refseq","XM_023171981.1","cleavage and polyadenylation specificity factor subunit 5","=",0.413889175306852
"TU42659","LOC111515884","G24997","neurocalcin homolog","refseq","XM_023172086.1","neurocalcin homolog","j",-23.2770849465134
"TU12803","LOC111504233","G7185","KN motif and ankyrin repeat domain-containing protein 1","refseq","XM_023158746.1","KN motif and ankyrin repeat domain-containing protein 1, transcript variant X2","=",0.530963523745855
"TU1118","LOC111503111","G565","eukaryotic translation initiation factor 5B","refseq","XM_023157335.1","eukaryotic translation initiation factor 5B","=",-0.711751098992085
"TU33070",NA,"G18895","* hypothetical protein JTB14_025380","novel","KAG5885985","hypothetical protein JTB14_025380","u",0.882658966026452
"TU6762",NA,"G3741","* ---NA---","novel",NA,"---NA---","u",19.5968878357816
"TU8212","LOC111502406","G4564","uncharacterized LOC111502406","refseq","XM_023156482.1","uncharacterized LOC111502406","m",-0.407827107963653
"TU7414","LOC111502084","G4131","Niemann-Pick C1 protein-like","refseq","XM_023156058.1","Niemann-Pick C1 protein-like","c",0.60501838075389
"TU39625","LOC111514629","G22950","ribonuclease P protein subunit p25-like protein","refseq","XM_023170883.1","ribonuclease P protein subunit p25-like protein","j",20.1225391484194
"TU31435",NA,"G17860","* ubiquitin carboxyl-terminal hydrolase 35","novel","XP_028151332","ubiquitin carboxyl-terminal hydrolase 35","r",19.4909743375488
"TU20570","LOC111507250","G11542","probable RNA polymerase II nuclear localization protein SLC7A6OS","refseq","XM_023162540.1","probable RNA polymerase II nuclear localization protein SLC7A6OS, transcript variant X3","=",0.56685611578019
"TU38879",NA,"G22492","* atypical protein kinase C","novel","XP_018562481","atypical protein kinase C","u",1.02921420786208
"TU31298",NA,"G17776","* hypothetical protein ILUMI_18259","novel","KAF2887914","hypothetical protein ILUMI_18259","u",2.29908522245772
"TU34919","LOC111512798","G19995","origin recognition complex subunit 5","refseq","XM_023168958.1","origin recognition complex subunit 5, transcript variant X1","j",17.990761537692
"TU8758","LOC111502645","G4902","DNA topoisomerase I","refseq","XM_023156770.1","DNA topoisomerase I, mitochondrial","x",1.49291823730828
"TU8756","LOC111502644","G4900","ATPase WRNIP1-like","refseq","XM_023156769.1","ATPase WRNIP1-like","e",0.576761294245957
"TU28321","LOC111510206","G15989","uncharacterized LOC111510206","refseq","XM_023166105.1","uncharacterized LOC111510206","=",1.25438225341268
"TU27366","LOC111509856","G15443","uncharacterized protein PB18E9.04c-like","refseq","XM_023165699.1","uncharacterized protein PB18E9.04c-like","=",0.52635567164057
"TU12526",NA,"G7007","* uncharacterized protein LOC108916534, partial","novel","XP_018578329","uncharacterized protein LOC108916534, partial","u",-3.52128736169879
"TU17818",NA,"G10023","* facilitated trehalose transporter Tret1-like","novel","XP_023026660","facilitated trehalose transporter Tret1-like","u",2.99956954615915
"TU17815","LOC111506177","G10022","ATP-binding cassette sub-family B member 6","refseq","XM_023161180.1","ATP-binding cassette sub-family B member 6, mitochondrial","j",0.546347120446121
"TU40812","LOC111515134","G23737","72 kDa inositol polyphosphate 5-phosphatase","refseq","XM_023171369.1","72 kDa inositol polyphosphate 5-phosphatase","j",1.20071887999477
"TU13663","LOC111504586","G7677","uncharacterized LOC111504586","refseq","XR_002722022.1","uncharacterized LOC111504586","=",-1.56001181706783
"TU12393","LOC111504049","G6917","uncharacterized LOC111504049","refseq","XM_023158528.1","uncharacterized LOC111504049, transcript variant X2","=",-0.887177210503137
"TU12392","LOC111504049","G6917","uncharacterized LOC111504049","refseq","XM_023158526.1","uncharacterized LOC111504049, transcript variant X1","=",-0.988695907609807
"TU12394","LOC111504050","G6918","uncharacterized LOC111504050","refseq","XR_002721946.1","uncharacterized LOC111504050","=",-1.1882541996825
"TU24041","LOC111508593","G13540","actin cytoskeleton-regulatory complex protein PAN1-like","refseq","XM_023164153.1","actin cytoskeleton-regulatory complex protein PAN1-like","j",-4.43202341337971
"TU21278","LOC111507514","G11952","uncharacterized LOC111507514","refseq","XM_023162827.1","uncharacterized LOC111507514, transcript variant X1","c",3.35450806173136
"TU42719","LOC111515909","G25038","ceramide synthase 6","refseq","XM_023172107.1","ceramide synthase 6","=",0.759873998545298
"TU42715","LOC111515907","G25035","extended synaptotagmin-2-B-like","refseq","XM_023172105.1","extended synaptotagmin-2-B-like","=",1.02579644760999
"TU16851","LOC111505842","G9510","zinc finger SWIM domain-containing protein 5-like","refseq","XM_023160722.1","zinc finger SWIM domain-containing protein 5-like","j",-24.8410444836177
"TU29449","LOC111510668","G16662","uncharacterized LOC111510668","refseq","XM_023166599.1","uncharacterized LOC111510668","=",0.534234972910716
"TU15629","LOC111505372","G8824","serine/threonine-protein kinase PAK 1","refseq","XM_023160169.1","serine/threonine-protein kinase PAK 1, transcript variant X2","=",0.455613654945561
"TU18456","LOC111506416","G10363","BTB/POZ domain-containing protein 6","refseq","XM_023161476.1","BTB/POZ domain-containing protein 6, transcript variant X1","j",1.46931311732728
"TU351","LOC111514950","G184","ATP-binding cassette sub-family G member 4","refseq","XM_023171221.1","ATP-binding cassette sub-family G member 4","=",3.509091511583
"TU19500",NA,"G10933","* THAP domain-containing protein 1 A-like","novel","KAG5874876","THAP domain-containing protein 1 A-like","u",0.484658352991937
"TU14887",NA,"G8383","* hypothetical protein JTB14_012607","novel","KAG5889336","hypothetical protein JTB14_012607","u",-0.811361972146052
"TU7233","LOC111502005","G4030","uncharacterized protein PB18E9.04c-like","refseq","XM_023155951.1","uncharacterized protein PB18E9.04c-like","=",-1.46498075935669
"TU7239","LOC111502011","G4036","cGMP-dependent protein kinase","refseq","XM_023155956.1","cGMP-dependent protein kinase, isozyme 2 forms cD4/T1/T3A/T3B-like","=",0.814223185272672
"TU41379","LOC111515356","G24120","nucleosome-remodeling factor subunit NURF301","refseq","XM_023171584.1","nucleosome-remodeling factor subunit NURF301","o",0.926393943019574
"TU30943",NA,"G17562","* ---NA---","novel",NA,"---NA---","u",0.590182308562188
"TU30945","LOC111511269","G17564","ras GTPase-activating protein-binding protein 1","refseq","XM_023167283.1","ras GTPase-activating protein-binding protein 1","c",0.64988760909502
"TU33910","LOC111512423","G19395","E3 ubiquitin-protein ligase MYCBP2-like","refseq","XM_023168543.1","E3 ubiquitin-protein ligase MYCBP2-like","j",1.35121853386052
"TU37340","LOC111513721","G21502","uncharacterized LOC111513721","refseq","XR_002723256.1","uncharacterized LOC111513721","j",23.0957839286992
"TU26215","LOC111509435","G14793","uncharacterized LOC111509435","refseq","XM_023165191.1","uncharacterized LOC111509435","=",0.991220260919212
"TU26214","LOC111509424","G14792","polyadenylate-binding protein 1-like","refseq","XM_023165178.1","polyadenylate-binding protein 1-like","=",0.719568631761272
"TU26216","LOC111509436","G14794","PITH domain-containing protein GA19395","refseq","XM_023165193.1","PITH domain-containing protein GA19395","=",-0.538423417658389
"TU4158","LOC111517229","G2294","ABC transporter G family member 23-like","refseq","XM_023173308.1","ABC transporter G family member 23-like","j",1.47594281591233
"TU32391",NA,"G18465","* ---NA---","novel",NA,"---NA---","u",-2.0717429070773
"TU2654","LOC111510052","G1415","uncharacterized LOC111510052","refseq","XM_023165917.1","uncharacterized LOC111510052, transcript variant X2","j",1.21590446853903
"TU14166","LOC111504780","G7969","UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit","refseq","XM_023159470.1","UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit, transcript variant X1","j",-24.5553954144795
"TU20309","LOC111507156","G11400","dynamin-1-like protein","refseq","XM_023162422.1","dynamin-1-like protein, transcript variant X3","=",0.767729652554617
"TU39010",NA,"G22561","* Zinc finger BED domain-containing protein 5","novel","KFM65103","Zinc finger BED domain-containing protein 5","u",-20.1175000168895
"TU44042","LOC111516488","G26026","growth hormone secretagogue receptor type 1-like","refseq","XM_023172642.1","growth hormone secretagogue receptor type 1-like","=",2.08485377969966
"TU1680","LOC111505651","G884","amyloid-beta-like protein","refseq","XM_023160505.1","amyloid-beta-like protein, transcript variant X2","j",24.0420695352857
"TU26976","LOC111509701","G15218","tafazzin homolog","refseq","XM_023165494.1","tafazzin homolog, transcript variant X2","=",-0.455812061525524
"TU28048",NA,"G15836","* ---NA---","novel",NA,"---NA---","u",1.18757201839559
"TU37884","LOC111513925","G21852","transmembrane 9 superfamily member 2","refseq","XM_023170144.1","transmembrane 9 superfamily member 2","j",0.328378403830469
"TU37885","LOC111513928","G21853","peptidyl-prolyl cis-trans isomerase G-like","refseq","XM_023170146.1","peptidyl-prolyl cis-trans isomerase G-like","=",-0.553764999637842
"TU39835","LOC111514719","G23094","WD repeat-containing protein 55 homolog","refseq","XM_023170966.1","WD repeat-containing protein 55 homolog","=",0.484383983452865
"TU32575","LOC111511927","G18580","uncharacterized LOC111511927","refseq","XR_002723001.1","uncharacterized LOC111511927, transcript variant X1","=",1.64350266952088
"TU29842","LOC111510834","G16903","heterogeneous nuclear ribonucleoprotein 27C","refseq","XM_023166787.1","heterogeneous nuclear ribonucleoprotein 27C","j",0.77638843625172
"TU7688","LOC111502200","G4275","uncharacterized LOC111502200","refseq","XM_023156210.1","uncharacterized LOC111502200","=",1.14418613870217
"TU7683","LOC111502175","G4270","probable Golgi SNAP receptor complex member 2","refseq","XM_023156184.1","probable Golgi SNAP receptor complex member 2","=",0.380563867043773
"TU40393","LOC111514976","G23462","multidrug resistance-associated protein 1-like","refseq","XM_023171210.1","multidrug resistance-associated protein 1-like","j",1.00522637713579
"TU42529","LOC111515838","G24909","unconventional myosin-VIIa-like","refseq","XM_023172038.1","unconventional myosin-VIIa-like","c",0.7338314773264
"TU14321","LOC111504829","G8052","serine protease inhibitor 88Ea-like","refseq","XM_023159536.1","serine protease inhibitor 88Ea-like, transcript variant X2","=",-0.999667739870987
"TU14322","LOC111504829","G8052","serine protease inhibitor 88Ea-like","refseq","XM_023159535.1","serine protease inhibitor 88Ea-like, transcript variant X1","=",-5.07240129282785
"TU14327","LOC111504831","G8055","39S ribosomal protein L51","refseq","XM_023159537.1","39S ribosomal protein L51, mitochondrial","k",-0.621111106863355
"TU2242","LOC111508242","G1217","Fanconi anemia group M protein","refseq","XM_023163684.1","Fanconi anemia group M protein","j",2.20353203248228
"TU17670","LOC111506133","G9936","mitochondrial intermembrane space import and assembly protein 40-B","refseq","XM_023161129.1","mitochondrial intermembrane space import and assembly protein 40-B","j",-0.429274157501088
