"qry_transcript_id","ref_gene_id","qry_gene_id","ref_gene_name","gene_annotation","ref_transcript_id","ref_transcript_name","class_code","male_log2FoldChange","female_log2FoldChange"
"TU42797","LOC111515948","G25092","putative inorganic phosphate cotransporter","refseq","XM_023172142.1","putative inorganic phosphate cotransporter","j",-2.47838395452396,-3.84234736623328
"TU5503","LOC111517846","G3048","hydroxysteroid dehydrogenase-like protein 1","refseq","XR_002723867.1","hydroxysteroid dehydrogenase-like protein 1, transcript variant X6","=",0.78693478847663,1.86737740317115
"TU6852","LOC111501843","G3782","protein amalgam-like","refseq","XM_023155758.1","protein amalgam-like","j",0.677352128575201,0.706784042201836
"TU31113",NA,"G17660","* hypothetical protein JTB14_009219","novel","KAG5895508","hypothetical protein JTB14_009219","r",-4.7214231667501,-8.72470559734739
"TU41857","LOC111515558","G24461","THO complex subunit 1-like","refseq","XM_023171776.1","THO complex subunit 1-like","j",0.493117971777961,0.605101473063497
"TU7164","LOC111501988","G3984","60S ribosomal protein L17","refseq","XM_023155931.1","60S ribosomal protein L17","=",0.564504906051039,0.66554756575964
"TU11032","LOC111503501","G6145","supervillin-like","refseq","XM_023157810.1","supervillin-like, transcript variant X1","=",2.74286875982965,5.75423206159264
"TU11030","LOC111503503","G6144","serine/arginine repetitive matrix protein 1-like","refseq","XM_023157815.1","serine/arginine repetitive matrix protein 1-like","j",1.41814129866416,1.04157145684108
"TU11034","LOC111503501","G6145","supervillin-like","refseq","XM_023157812.1","supervillin-like, transcript variant X2","c",-3.90580682046251,-3.19425182223372
"TU14204","LOC111504795","G7993","3-ketoacyl-CoA thiolase","refseq","XM_023159486.1","3-ketoacyl-CoA thiolase, mitochondrial-like","j",-2.14277714045418,-2.07890699008395
"TU26297","LOC111509458","G14833","zinc finger protein 706-like","refseq","XM_023165218.1","zinc finger protein 706-like, transcript variant X3","=",0.612823392257496,0.458267463539754
"TU39322","LOC111514502","G22770","heparan-alpha-glucosaminide N-acetyltransferase-like","refseq","XM_023170738.1","heparan-alpha-glucosaminide N-acetyltransferase-like","k",0.349870914186848,0.560245342270618
"TU38249","LOC111514077","G22080","uncharacterized LOC111514077","refseq","XR_002723302.1","uncharacterized LOC111514077","=",-1.30548341959186,-1.43901286986441
"TU21966","LOC111507790","G12339","pyrimidodiazepine synthase-like","refseq","XM_023163145.1","pyrimidodiazepine synthase-like","j",-0.537184735021898,-0.74577371846107
"TU42809","LOC111515954","G25103","protein obstructor-E-like","refseq","XM_023172148.1","protein obstructor-E-like","k",-5.11213441627877,-4.75774608560366
"TU8560","LOC111502552","G4767","KH domain-containing","refseq","XM_023156656.1","KH domain-containing, RNA-binding, signal transduction-associated protein 2, transcript variant X2","=",0.688514820207266,1.01395530258405
"TU8563","LOC111502555","G4769","cytochrome b-c1 complex subunit 7-like","refseq","XM_023156660.1","cytochrome b-c1 complex subunit 7-like","=",-1.67531521000965,-1.8384409177382
"TU8564","LOC111502548","G4770","trifunctional enzyme subunit beta","refseq","XM_023156651.1","trifunctional enzyme subunit beta, mitochondrial","=",-0.688686627621107,-0.756874091442879
"TU8568","LOC111502563","G4774","dynein light chain roadblock-type 2","refseq","XM_023156674.1","dynein light chain roadblock-type 2","=",-0.785153159342977,-0.888657958622335
"TU23520",NA,"G13254","* flocculation protein FLO11-like ","novel","XP_023027802","flocculation protein FLO11-like isoform X1","u",0.798015627962012,0.744764469768432
"TU18344","LOC111506369","G10297","ornithine aminotransferase","refseq","XM_023161419.1","ornithine aminotransferase, mitochondrial-like","=",-2.56888193775864,-4.71873303449987
"TU28711","LOC111510371","G16239","trypsin-1-like","refseq","XM_023166279.1","trypsin-1-like","c",-4.93911014580144,-6.16702344323276
"TU28719","LOC111510372","G16242","uncharacterized LOC111510372","refseq","XM_023166280.1","uncharacterized LOC111510372","=",1.13934282294316,1.6880178592622
"TU11547","LOC111503709","G6442","ralA-binding protein 1-like","refseq","XM_023158081.1","ralA-binding protein 1-like","n",-0.626620079647499,-0.65043655789848
"TU13941","LOC111504689","G7844","elongation of very long chain fatty acids protein AAEL008004-like","refseq","XM_023159364.1","elongation of very long chain fatty acids protein AAEL008004-like","x",-1.35076122298951,-3.61741329627527
"TU7607","LOC111502154","G4226","uncharacterized LOC111502154","refseq","XR_002721693.1","uncharacterized LOC111502154","i",1.18431071794514,1.71378760972038
"TU44421","LOC111516651","G26316","uncharacterized LOC111516651","refseq","XR_002723701.1","uncharacterized LOC111516651","k",-14.7020217885251,-16.7709360143476
"TU37451","LOC111513765","G21573","la-related protein 1B","refseq","XM_023169992.1","la-related protein 1B","j",-1.40695285436555,-1.31227204684374
"TU45088",NA,"G26826","* piggyBac transposable element-derived protein 3-like ","novel","CAF4940775","piggyBac transposable element-derived protein 3-like isoform X1","u",-1.04734717483301,-0.758490903074681
"TU44285",NA,"G26218","* ---NA---","novel",NA,"---NA---","u",2.13721223642324,0.913446126046581
"TU1770","LOC111506115","G936","FHA domain-containing protein DDL","refseq","XM_023161090.1","FHA domain-containing protein DDL","=",-0.592726327347379,-0.473599807218634
"TU35149","LOC111512875","G20133","probable pseudouridine-5'-phosphatase","refseq","XM_023169038.1","probable pseudouridine-5'-phosphatase","=",-0.772696393330191,-0.669654361397903
"TU28247","LOC111510194","G15949","LIM domain and actin-binding protein 1","refseq","XM_023166089.1","LIM domain and actin-binding protein 1, transcript variant X4","=",1.07180396953204,1.16727853347111
"TU34789","LOC111512753","G19918","cathepsin L-like proteinase","refseq","XM_023168901.1","cathepsin L-like proteinase","k",-6.6883291771616,-9.52087734914821
"TU23054","LOC111508212","G12975","cytosolic beta-glucosidase-like","refseq","XM_023163649.1","cytosolic beta-glucosidase-like","=",-8.23852356622596,-11.7100128421509
"TU23058","LOC111508212","G12978","cytosolic beta-glucosidase-like","refseq","XM_023163649.1","cytosolic beta-glucosidase-like","x",-8.54188283538445,-11.6900283156916
"TU5732","LOC111517917","G3161","uncharacterized LOC111517917","refseq","XM_023174213.1","uncharacterized LOC111517917, transcript variant X2","=",1.33670061021134,2.9827444568459
"TU5733","LOC111517917","G3161","uncharacterized LOC111517917","refseq","XM_023174212.1","uncharacterized LOC111517917, transcript variant X1","c",-1.75605089945816,-1.41044960170253
"TU20778","LOC111507337","G11674","equilibrative nucleoside transporter 3-like","refseq","XR_002722383.1","equilibrative nucleoside transporter 3-like, transcript variant X8","j",-3.31312294958284,-7.88672012771541
"TU20776","LOC111507338","G11673","equilibrative nucleoside transporter 3-like","refseq","XM_023162634.1","equilibrative nucleoside transporter 3-like","=",-6.10454530885074,-4.93590244546365
"TU20777","LOC111507337","G11673","equilibrative nucleoside transporter 3-like","refseq","XM_023162632.1","equilibrative nucleoside transporter 3-like, transcript variant X4","j",-6.53714806290602,-8.03257359151168
"TU27907","LOC111510062","G15767","uncharacterized protein DDB_G0290685-like","refseq","XM_023165920.1","uncharacterized protein DDB_G0290685-like","j",-17.1910346458085,-24.3119434223269
"TU12479","LOC111504081","G6973","adult-specific cuticular protein ACP-20-like","refseq","XR_002721951.1","adult-specific cuticular protein ACP-20-like, transcript variant X3","=",-1.17138446151242,-1.63607797152208
"TU15127","LOC111505167","G8533","DNA ligase 1-like","refseq","XM_023159934.1","DNA ligase 1-like","=",-1.25567846157612,-1.28236936919185
"TU18064","LOC111506257","G10149","serine/threonine-protein phosphatase 5","refseq","XM_023161273.1","serine/threonine-protein phosphatase 5","j",-0.544799505123654,-0.782022435803097
"TU18061","LOC111506254","G10146","small integral membrane protein 8","refseq","XM_023161270.1","small integral membrane protein 8","=",-1.00456360298129,-0.580054161273411
"TU35305","LOC111512940","G20221","UDP-glucuronosyltransferase 2B7-like","refseq","XM_023169105.1","UDP-glucuronosyltransferase 2B7-like","=",2.12742842333604,1.4343549533772
"TU40304","LOC111514931","G23399","CKLF-like MARVEL transmembrane domain-containing protein 8","refseq","XM_023171174.1","CKLF-like MARVEL transmembrane domain-containing protein 8","=",0.69277738177794,1.13617883161419
"TU40309","LOC111514933","G23404","U2 snRNP-associated SURP motif-containing protein-like","refseq","XM_023171178.1","U2 snRNP-associated SURP motif-containing protein-like","k",1.31979691888685,0.646376079479631
"TU42655",NA,"G24995","* flightin ","novel","KAG5877475","flightin isoform X1","u",-2.41329971969822,-3.01759925329764
"TU16382","LOC111505650","G9220","potassium voltage-gated channel protein Shab-like","refseq","XM_023160492.1","potassium voltage-gated channel protein Shab-like","j",0.778407539156207,1.58977547694248
"TU9349","LOC111502881","G5243","peptidyl-prolyl cis-trans isomerase","refseq","XM_023157046.1","peptidyl-prolyl cis-trans isomerase","=",0.548010133891642,0.530032200236592
"TU8210",NA,"G4562","* very long-chain-fatty-acid--CoA ligase bubblegum ","novel","KAG5887359","very long-chain-fatty-acid--CoA ligase bubblegum isoform X1","u",-0.82147595920745,-1.13833002811568
"TU38472","LOC111514164","G22227","probable 4-coumarate--CoA ligase 3","refseq","XM_023170402.1","probable 4-coumarate--CoA ligase 3","=",-0.796934647211313,-0.872800510438372
"TU5127","LOC111517708","G2860","cysteine-rich motor neuron 1 protein-like","refseq","XM_023173929.1","cysteine-rich motor neuron 1 protein-like","=",0.976364882843563,1.45025381618037
"TU5120","LOC111517697","G2854","iron-sulfur cluster assembly 2 homolog","refseq","XM_023173917.1","iron-sulfur cluster assembly 2 homolog, mitochondrial","=",-0.631019125507134,-0.620669491570513
"TU31295","LOC111511411","G17774","4-aminobutyrate aminotransferase","refseq","XM_023167425.1","4-aminobutyrate aminotransferase, mitochondrial-like","i",-0.826590555472855,-1.38355143271352
"TU3408","LOC111514045","G1851","40S ribosomal protein S12","refseq","XM_023170282.1","40S ribosomal protein S12, mitochondrial","j",-1.05452206378788,-0.822255441143802
"TU24989","LOC111508954","G14062","uncharacterized LOC111508954","refseq","XR_002722589.1","uncharacterized LOC111508954, transcript variant X2","x",20.1931003073379,22.8069357222456
"TU24984","LOC111508946","G14060","3-hydroxyacyl-CoA dehydrogenase type-2","refseq","XM_023164600.1","3-hydroxyacyl-CoA dehydrogenase type-2","k",-0.990760178381209,-0.702791328831068
"TU25053","LOC111508978","G14100","AT-rich interactive domain-containing protein 2","refseq","XM_023164635.1","AT-rich interactive domain-containing protein 2, transcript variant X1","=",1.05725042365806,1.54645141419557
"TU25051","LOC111508978","G14100","AT-rich interactive domain-containing protein 2","refseq","XM_023164639.1","AT-rich interactive domain-containing protein 2, transcript variant X5","=",1.11940380957902,1.51255283092586
"TU9808","LOC111503035","G5485","hrp65 protein-like","refseq","XM_023157233.1","hrp65 protein-like","=",0.754984657792549,0.631203936386862
"TU27368",NA,"G15444","* Ebony1","novel","ATB56362","Ebony1","u",-1.01579781061234,-1.53799208340766
"TU27369","LOC111509869","G15445","bacitracin synthase 3-like","refseq","XM_023165718.1","bacitracin synthase 3-like","=",-1.81046000523261,-1.86495841465681
"TU41032","LOC111515221","G23884","uncharacterized LOC111515221","refseq","XM_023171449.1","uncharacterized LOC111515221","k",20.4312107435277,27.1503694820531
"TU16149","LOC111505561","G9100","relaxin receptor 1-like","refseq","XM_023160388.1","relaxin receptor 1-like","j",-15.4406988273185,-23.1048582421896
"TU12390","LOC111504047","G6916","ultraviolet-B receptor UVR8","refseq","XM_023158523.1","ultraviolet-B receptor UVR8","=",0.951913445708932,1.21432296941545
"TU4450","LOC111517358","G2451","uncharacterized LOC111517358","refseq","XR_002723805.1","uncharacterized LOC111517358","=",-1.68726457565674,-2.81582734564733
"TU12531","LOC111504110","G7011","NFX1-type zinc finger-containing protein 1-like","refseq","XM_023158600.1","NFX1-type zinc finger-containing protein 1-like","j",0.69672958239872,0.963552212470161
"TU16856","LOC111505838","G9513","XK-related protein 4-like","refseq","XM_023160713.1","XK-related protein 4-like","=",-0.786273893710874,-0.648682161501257
"TU15620","LOC111505365","G8818","membrane alanyl aminopeptidase-like","refseq","XM_023160163.1","membrane alanyl aminopeptidase-like","j",-11.5835567569675,-12.8553594411766
"TU43044","LOC111516055","G25273","uncharacterized LOC111516055","refseq","XR_002723627.1","uncharacterized LOC111516055","=",-1.76151024024448,-2.42534049847234
"TU34158","LOC111512516","G19528","cleavage and polyadenylation specificity factor 73-like","refseq","XM_023168652.1","cleavage and polyadenylation specificity factor 73-like","j",0.564351837490565,0.459712281281211
"TU30699","LOC111511178","G17415","uncharacterized LOC111511178","refseq","XR_002722872.1","uncharacterized LOC111511178","k",-1.44527426192805,-2.3885850048425
"TU14289","LOC111504815","G8033","alpha-amylase-like","refseq","XM_023159519.1","alpha-amylase-like","j",-6.01038147351373,-8.48222882487263
"TU7890","LOC111502280","G4389","elongation factor Ts","refseq","XM_023156307.1","elongation factor Ts, mitochondrial, transcript variant X2","=",-0.674742891573981,-0.704563256644306
"TU14821","LOC111505028","G8339","lysosomal Pro-X carboxypeptidase","refseq","XM_023159770.1","lysosomal Pro-X carboxypeptidase","=",-0.9481707074906,-1.06357196584209
"TU16467","LOC111505676","G9270","isocitrate dehydrogenase [NADP] cytoplasmic-like","refseq","XM_023160527.1","isocitrate dehydrogenase [NADP] cytoplasmic-like","=",-2.46137039364387,-1.67776806550691
"TU33916","LOC111512429","G19400","28S ribosomal protein S18a","refseq","XM_023168551.1","28S ribosomal protein S18a, mitochondrial","=",-0.557481975742839,-0.449955350788938
"TU37343",NA,"G21503","* piggyBac transposable element-derived protein 3-like","novel","XP_026316257","piggyBac transposable element-derived protein 3-like","u",-2.40820055372372,-3.37123421459084
"TU9687","LOC111502984","G5415","uncharacterized LOC111502984","refseq","XM_023157176.1","uncharacterized LOC111502984, transcript variant X1","=",-1.56048358537986,-3.25326344980711
"TU2650","LOC111510018","G1412","oxygen-dependent coproporphyrinogen-III oxidase","refseq","XM_023165877.1","oxygen-dependent coproporphyrinogen-III oxidase","=",-1.52077508781807,-1.67812216859483
"TU20303","LOC111507153","G11397","geranylgeranyl transferase type-2 subunit beta","refseq","XM_023162417.1","geranylgeranyl transferase type-2 subunit beta","=",-0.342028233382121,-0.338609281957067
"TU941","LOC111502628","G487","uncharacterized LOC111502628","refseq","XM_023156758.1","uncharacterized LOC111502628, transcript variant X2","j",17.3386076123696,28.7335094158017
"TU38055","LOC111514002","G21960","histone acetyltransferase KAT8-like","refseq","XM_023170225.1","histone acetyltransferase KAT8-like","k",0.427707783336531,0.505962800308503
"TU12906","LOC111504294","G7253","T-complex protein 1 subunit zeta","refseq","XM_023158812.1","T-complex protein 1 subunit zeta","=",0.950751592408735,0.659919577755938
"TU15424","LOC111505286","G8704","polygalacturonase-like","refseq","XM_023160063.1","polygalacturonase-like","=",-7.9903895006463,-7.42901955561389
"TU15427","LOC111505286","G8707","polygalacturonase-like","refseq","XM_023160063.1","polygalacturonase-like","x",-5.37884854479178,-4.32962138298176
"TU18610","LOC111506469","G10459","forkhead box protein P1","refseq","XM_023161535.1","forkhead box protein P1","j",0.77574376963723,1.22169612186953
"TU39832","LOC111514717","G23091","N(G)","refseq","XM_023170964.1","N(G),N(G)-dimethylarginine dimethylaminohydrolase 1","j",0.765071786316753,0.595981587138987
"TU38172","LOC111514042","G22034","probable DNA-directed RNA polymerases I and III subunit RPAC2","refseq","XM_023170273.1","probable DNA-directed RNA polymerases I and III subunit RPAC2, transcript variant X1","m",-0.89222501010474,-0.770739980100455
"TU33318","LOC111512220","G19047","troponin C-like","refseq","XM_023168318.1","troponin C-like","=",0.832329972839477,1.51281465919411
"TU17130","LOC111505945","G9664","elongation factor 1-alpha","refseq","XM_023160856.1","elongation factor 1-alpha","=",0.70763349175143,0.983198586910474
"TU41173",NA,"G23978","* hypothetical protein JTB14_013065","novel","KAG5872128","hypothetical protein JTB14_013065","u",-3.14285670900634,-3.13835882838386
"TU41172",NA,"G23977","* ---NA---","novel",NA,"---NA---","u",-2.50034547099957,-3.17003354977555
"TU7136","LOC111501971","G3969","endoplasmin","refseq","XM_023155906.1","endoplasmin","i",-1.14018107441908,-1.18906739704179
"TU7137","LOC111501955","G3970","putative sugar lactone lactonase YvrE","refseq","XM_023155890.1","putative sugar lactone lactonase YvrE","c",-1.76207333835963,-3.89158030705467
"TU7687","LOC111502171","G4274","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2","refseq","XM_023156179.1","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2","=",-1.05731591724446,-1.13535115985493
"TU42526","LOC111515837","G24907","uncharacterized LOC111515837","refseq","XM_023172037.1","uncharacterized LOC111515837","=",-2.82267305474483,-2.53658846267586
"TU41953",NA,"G24521","* ---NA---","novel",NA,"---NA---","u",1.471544884273,1.52831837478789
"TU14325","LOC111504828","G8053","retinal homeobox protein Rx-B","refseq","XM_023159534.1","retinal homeobox protein Rx-B","=",1.12196013028362,1.92945672458962
"TU31931","LOC111511648","G18165","venom carboxylesterase-6-like","refseq","XM_023167680.1","venom carboxylesterase-6-like","j",-1.75052706711776,-1.24897959112705
"TU31932","LOC111511649","G18166","venom carboxylesterase-6-like","refseq","XM_023167681.1","venom carboxylesterase-6-like","c",-9.58586901133139,-15.4083100868368
"TU30153","LOC111510953","G17091","UDP-glucuronosyltransferase 1-5-like","refseq","XM_023166929.1","UDP-glucuronosyltransferase 1-5-like","k",-2.11870447522075,-1.58546638973991
"TU3112","LOC111512529","G1679","uncharacterized LOC111512529","refseq","XM_023168671.1","uncharacterized LOC111512529","j",1.11261464044388,2.05710657105512
"TU3113","LOC111512529","G1679","uncharacterized LOC111512529","refseq","XM_023168671.1","uncharacterized LOC111512529","=",1.18831361639758,1.32408172145634
"TU33768","LOC111512366","G19313","translocon-associated protein subunit delta-like","refseq","XM_023168474.1","translocon-associated protein subunit delta-like","=",-0.84170647605835,-1.16999429001652
"TU25979","LOC111509331","G14662","probable methylmalonate-semialdehyde dehydrogenase [acylating]","refseq","XM_023165051.1","probable methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial","c",-0.733609099340903,-0.864637067063642
"TU39585","LOC111514612","G22923","60S ribosomal protein L28-like","refseq","XM_023170870.1","60S ribosomal protein L28-like","=",0.706398123436788,0.651638624168813
"TU9187","LOC111502809","G5126","lysosomal aspartic protease-like","refseq","XM_023156972.1","lysosomal aspartic protease-like, transcript variant X1","j",-4.17713048756126,-8.64670755179496
"TU9186","LOC111502809","G5126","lysosomal aspartic protease-like","refseq","XM_023156972.1","lysosomal aspartic protease-like, transcript variant X1","j",-9.07715547141985,-11.9077033982152
"TU9189","LOC111502809","G5126","lysosomal aspartic protease-like","refseq","XM_023156972.1","lysosomal aspartic protease-like, transcript variant X1","j",-15.150329773183,-15.3541808034112
"TU9188","LOC111502796","G5126","lysosomal aspartic protease-like","refseq","XM_023156956.1","lysosomal aspartic protease-like","j",-4.83014380840158,-7.16380588758684
"TU9726","LOC111502999","G5441","general transcription factor IIF subunit 1","refseq","XM_023157190.1","general transcription factor IIF subunit 1","=",-0.895956313214812,-0.418521505276235
"TU36606","LOC111513442","G21029","UDP-glucuronosyltransferase 2B1-like","refseq","XM_023169651.1","UDP-glucuronosyltransferase 2B1-like, transcript variant X1","m",2.50325123201374,3.74815900199108
"TU31051","LOC111511316","G17627","zinc finger protein 728-like","refseq","XM_023167331.1","zinc finger protein 728-like","i",0.596487568381665,0.795385003034007
"TU29230","LOC111510578","G16534","probable very-long-chain enoyl-CoA reductase art-1","refseq","XM_023166499.1","probable very-long-chain enoyl-CoA reductase art-1","c",-1.06064005829403,-0.501956972306201
"TU25690","LOC111509211","G14466","ethanolamine kinase","refseq","XM_023164911.1","ethanolamine kinase","j",-1.46732495056065,-0.930275692956038
"TU25693","LOC111509211","G14468","ethanolamine kinase","refseq","XM_023164911.1","ethanolamine kinase","i",-1.98311664491292,-1.90668737922263
"TU12749","LOC111504216","G7154","V-type proton ATPase subunit F","refseq","XM_023158720.1","V-type proton ATPase subunit F","=",-0.602978423592886,-0.70214271343008
"TU15215","LOC111505194","G8581","KAT8 regulatory NSL complex subunit 3","refseq","XM_023159965.1","KAT8 regulatory NSL complex subunit 3","=",0.53466580964537,0.619574496750374
"TU32458","LOC111511872","G18506","fumarylacetoacetate hydrolase domain-containing protein 2-like","refseq","XM_023167888.1","fumarylacetoacetate hydrolase domain-containing protein 2-like","j",-2.37535454430479,-3.15761613552914
"TU22511","LOC111507989","G12662","luciferin 4-monooxygenase-like","refseq","XM_023163395.1","luciferin 4-monooxygenase-like","=",-0.878371601761082,-0.85305895479756
"TU8441","LOC111502496","G4699","10 kDa heat shock protein","refseq","XM_023156590.1","10 kDa heat shock protein, mitochondrial-like","=",-0.753728294790719,-0.989277358387681
"TU18790","LOC111506516","G10550","obscurin","refseq","XM_023161622.1","obscurin, transcript variant X10","j",1.10710921004382,2.19737620934134
"TU28614","LOC111510317","G16171","equilibrative nucleoside transporter 3-like","refseq","XM_023166221.1","equilibrative nucleoside transporter 3-like","j",-1.22311279655996,-4.03310223195045
"TU13172","LOC111504404","G7407","transient receptor potential cation channel protein painless-like","refseq","XM_023158946.1","transient receptor potential cation channel protein painless-like, transcript variant X1","k",0.746448214823649,0.732064386473158
"TU12883","LOC111504278","G7240","cytochrome P450 9e2-like","refseq","XM_023158796.1","cytochrome P450 9e2-like","j",-1.53352572063733,-2.60975718603686
"TU12881","LOC111504274","G7238","alaserpin-like","refseq","XM_023158792.1","alaserpin-like","=",4.86513786854886,1.28969771760362
"TU12888","LOC111504278","G7240","cytochrome P450 9e2-like","refseq","XM_023158796.1","cytochrome P450 9e2-like","j",-4.43238998868724,-2.33795274110357
"TU12220","LOC111503995","G6831","uncharacterized LOC111503995","refseq","XM_023158455.1","uncharacterized LOC111503995, transcript variant X1","k",-1.04294684059734,-1.4522756150691
"TU34991","LOC111512827","G20033","uncharacterized LOC111512827","refseq","XM_023168993.1","uncharacterized LOC111512827","=",12.0336651354963,10.2664012791569
"TU34992","LOC111512827","G20033","uncharacterized LOC111512827","refseq","XM_023168993.1","uncharacterized LOC111512827","j",4.93856846392207,3.76717120768079
"TU2166","LOC111507924","G1174","protein takeout-like","refseq","XM_023163320.1","protein takeout-like, transcript variant X2","j",1.82330569948602,2.69637736372104
"TU2162","LOC111507903","G1171","juvenile hormone esterase-like","refseq","XM_023163290.1","juvenile hormone esterase-like","=",-1.52369947128546,-3.10573962674634
"TU35025","LOC111512837","G20059","facilitated trehalose transporter Tret1-like","refseq","XM_023169005.1","facilitated trehalose transporter Tret1-like","=",1.24950587622923,4.06591513943168
"TU44603",NA,"G26455","* putative GTP-binding protein 6","novel","XP_023025693","putative GTP-binding protein 6","u",1.51200436402077,1.63954711331353
"TU39466","LOC111514573","G22856","serine/threonine-protein kinase prp4","refseq","XM_023170832.1","serine/threonine-protein kinase prp4, transcript variant X1","=",-0.826752348088081,-0.554282638896013
"TU26670","LOC111509609","G15044","uncharacterized LOC111509609","refseq","XM_023165380.1","uncharacterized LOC111509609","=",-1.07651123341386,-0.964822166895673
"TU32265",NA,"G18378","* ---NA---","novel",NA,"---NA---","u",0.842680634794668,1.28944222667982
"TU43938","LOC111516445","G25954","septin-1","refseq","XM_023172608.1","septin-1","=",1.14044157125287,1.24211027692895
"TU13373","LOC111504483","G7529","cytochrome c oxidase subunit 7C","refseq","XM_023159045.1","cytochrome c oxidase subunit 7C, mitochondrial-like","j",-1.25198940883728,-1.41172846846668
"TU13371","LOC111504481","G7527","coiled-coil domain-containing protein 86","refseq","XM_023159043.1","coiled-coil domain-containing protein 86","=",-0.754613654808479,-0.358316914345063
"TU15781","LOC111505416","G8898","protein sarah","refseq","XM_023160216.1","protein sarah","j",-0.915299965418586,-1.20804853383741
"TU38931","LOC111514347","G22518","uncharacterized LOC111514347","refseq","XM_023170583.1","uncharacterized LOC111514347","=",-1.92923301107583,-2.90092385147066
"TU44079","LOC111516507","G26056","rho GTPase-activating protein conundrum-like","refseq","XM_023172661.1","rho GTPase-activating protein conundrum-like","=",1.06739697045177,0.464287306467644
"TU19588","LOC111506861","G10976","GPI inositol-deacylase-like","refseq","XM_023162076.1","GPI inositol-deacylase-like","=",0.650551295564124,0.463502209744012
"TU15001","LOC111505117","G8454","uncharacterized LOC111505117","refseq","XR_002722080.1","uncharacterized LOC111505117","=",-1.132192296814,-0.54258765357691
"TU38734",NA,"G22403","* 60 kDa lysophospholipase ","novel","KAG5894530","60 kDa lysophospholipase isoform X2","u",-2.39429013446836,-3.50863159706771
"TU18187","LOC111506316","G10221","uncharacterized LOC111506316","refseq","XM_023161349.1","uncharacterized LOC111506316","=",-2.35337048804937,-5.87133603054166
"TU10784",NA,"G6032","* hypothetical protein PPYR_09779","novel","KAB0795718","hypothetical protein PPYR_09779","u",1.67718386963171,2.30445794841352
"TU18236","LOC111506336","G10253","dnaJ homolog subfamily C member 8","refseq","XM_023161367.1","dnaJ homolog subfamily C member 8, transcript variant X1","=",0.529887716875686,0.623075783137067
"TU18234","LOC111506335","G10252","forkhead box protein O-like","refseq","XM_023161366.1","forkhead box protein O-like","=",0.844164964559598,1.09556945047711
