"qry_transcript_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","ref_gene_id","qry_gene_id","ref_gene_name","gene_annotation","ref_transcript_id","ref_transcript_name","class_code"
"TU38240",800.637785095022,-0.875977928356805,0.362541955850612,0.00174097118593368,0.0130129712818578,"LOC111514073","G22074","GRAM domain-containing protein 2B-like","refseq","XM_023170318.1","GRAM domain-containing protein 2B-like","k"
"TU24763",15.1464652325518,-21.0356211696907,4.05062578844663,7.7367853341713e-08,1.89097838055394e-06,NA,"G13935","* ---NA---","novel",NA,"---NA---","u"
"TU24761",1251.99979406607,-2.41520347703563,0.521165573587775,5.34555019286259e-08,1.36703815891053e-06,"LOC111508881","G13934","cytochrome P450 6a2-like","refseq","XM_023164508.1","cytochrome P450 6a2-like","="
"TU21888",339.445008673846,-1.47154003527323,0.330526795429822,4.22741146283957e-07,8.97475810293132e-06,"LOC111507762","G12290","sphingosine kinase 2-like","refseq","XM_023163106.1","sphingosine kinase 2-like, transcript variant X1","="
"TU34903",3520.71194665944,-1.09296440304901,0.362043756935063,0.000172108941672695,0.00183851742488729,"LOC111512794","G19984","protein PAT1 homolog 1","refseq","XM_023168953.1","protein PAT1 homolog 1","j"
"TU34904",12918.9487354001,-0.886206175928708,0.303683539537316,0.000360274933261047,0.0034474538646732,"LOC111512793","G19985","uncharacterized LOC111512793","refseq","XM_023168952.1","uncharacterized LOC111512793","="
"TU8285",6019.82994515753,-0.669153604020421,0.227512702409547,0.000645824903806255,0.00565154453768313,"LOC111502430","G4603","GRAM domain-containing protein 1B-like","refseq","XM_023156508.1","GRAM domain-containing protein 1B-like","="
"TU8283",871.487960933459,0.471069853971721,0.183439818845887,0.00435571323071501,0.0276200291841095,"LOC111502427","G4601","uncharacterized LOC111502427","refseq","XR_002721731.1","uncharacterized LOC111502427","="
"TU8282",11644.6611246751,0.541980372861093,0.156694355668422,0.000178726234220333,0.00190143372764558,"LOC111502428","G4600","zonadhesin-like","refseq","XM_023156505.1","zonadhesin-like, transcript variant X1","="
"TU15507",95.1386154497817,-14.7364961756987,4.98773179420138,8.26800844248908e-05,0.000977794880782329,"LOC111505318","G8754","activin receptor type-2A","refseq","XM_023160097.1","activin receptor type-2A, transcript variant X1","j"
"TU22286",111.610373306905,0.701184588448636,0.183144049375204,2.16373861397431e-05,0.000305463480814724,"LOC111507904","G12527","uncharacterized LOC111507904","refseq","XM_023163286.1","uncharacterized LOC111507904","j"
"TU22285",673.926562801304,0.451478064463862,0.137415314031949,0.000478329495566709,0.00438448200706038,"LOC111507902","G12526","disintegrin and metalloproteinase domain-containing protein 10-like","refseq","XM_023163285.1","disintegrin and metalloproteinase domain-containing protein 10-like","p"
"TU9885",106.05134715868,2.23425407627516,0.59956980622575,3.00933131075139e-06,5.2388021628196e-05,"LOC111503077","G5535","trissin receptor-like","refseq","XM_023157294.1","trissin receptor-like","j"
"TU9886",41.6592587450786,1.65014973226202,1.07203108092931,0.00288943759896394,0.0197381968339052,"LOC111503077","G5535","trissin receptor-like","refseq","XM_023157294.1","trissin receptor-like","c"
"TU9889",727.052774724613,0.825802256370461,0.396495869558745,0.00488670064842944,0.030198331056278,"LOC111503080","G5538","PDF receptor","refseq","XM_023157297.1","PDF receptor, transcript variant X2","="
"TU23484",890.598273684981,-1.13491994501915,0.321925509399834,2.70082564158827e-05,0.000368930900532497,"LOC111508399","G13230","alpha-tocopherol transfer protein-like","refseq","XM_023163873.1","alpha-tocopherol transfer protein-like, transcript variant X2","k"
"TU45247",1293.8928908566,-0.946804446865685,0.34622108923397,0.00056827602336617,0.00507602944179707,"LOC111517045","G26954","exportin-2-like","refseq","XM_023173100.1","exportin-2-like","="
"TU11990",44.798885066304,-1.92668562479838,1.62554578053561,0.0036373893583343,0.0238132523010521,"LOC111503873","G6705","sodium channel protein 60E-like","refseq","XM_023158303.1","sodium channel protein 60E-like","c"
"TU11992",68.1984541955111,-1.34070348081417,0.732658097072846,0.00281749149800249,0.0193478606914853,"LOC111503873","G6706","sodium channel protein 60E-like","refseq","XM_023158303.1","sodium channel protein 60E-like","j"
"TU42230",63.3112368882634,-22.4136911672091,4.04450458306747,1.03146262393651e-08,3.13225876907878e-07,"LOC111515711","G24714","putative DNA helicase Ino80","refseq","XM_023171917.1","putative DNA helicase Ino80","j"
"TU17273",11.3795103698509,-4.79455535430643,2.01443712179617,5.99885788150001e-05,0.000737581710305123,"LOC111506001","G9751","acyl-CoA synthetase short-chain family member 3","refseq","XM_023160915.1","acyl-CoA synthetase short-chain family member 3, mitochondrial, transcript variant X2","x"
"TU17277",1971.21680345713,-1.89554009306215,0.561463579581479,1.59527712602583e-05,0.000233362852420585,"LOC111506001","G9753","acyl-CoA synthetase short-chain family member 3","refseq","XM_023160915.1","acyl-CoA synthetase short-chain family member 3, mitochondrial, transcript variant X2","j"
"TU43546",131.274836132532,-4.25087148563565,0.565012151784323,3.74606803424161e-16,4.92821648370496e-14,"LOC111516259","G25644","facilitated trehalose transporter Tret1-like","refseq","XM_023172437.1","facilitated trehalose transporter Tret1-like","k"
"TU12316",9468.91265480708,-9.96975088012714,1.60138189556684,2.53074944930814e-10,1.10362070534679e-08,"LOC111504022","G6873","twitchin","refseq","XM_023158490.1","twitchin","j"
"TU7070",2512.0677234613,-0.41834677155051,0.138090035644475,0.00128355334458029,0.0100802134056341,"LOC111501944","G3931","DDB1- and CUL4-associated factor 11","refseq","XM_023155877.1","DDB1- and CUL4-associated factor 11","k"
"TU17898",1252.51864824119,-2.16187132542632,0.918365977112515,0.000232922185516008,0.00238544445166395,"LOC111506207","G10067","angiotensin-converting enzyme-like","refseq","XM_023161219.1","angiotensin-converting enzyme-like","j"
"TU40891",1554.150465946,0.500922432951011,0.116244734483611,6.48877384103567e-06,0.000104150834168091,"LOC111515166","G23789","60S ribosomal protein L39-like","refseq","XM_023171399.1","60S ribosomal protein L39-like","j"
"TU26385",21.9848986203653,-1.04964814157186,0.644130723355728,0.00801227118868002,0.0447518278502652,NA,"G14890","* hypothetical protein JTB14_034472","novel","KAG5899214","hypothetical protein JTB14_034472","u"
"TU42797",746.479010812288,-3.84234736623328,0.522699114345037,1.80141163463824e-15,2.13361153245793e-13,"LOC111515948","G25092","putative inorganic phosphate cotransporter","refseq","XM_023172142.1","putative inorganic phosphate cotransporter","j"
"TU42798",346.173967733173,-2.05912967761127,0.641941720022182,2.26343485777682e-05,0.000317593772957346,"LOC111515948","G25093","putative inorganic phosphate cotransporter","refseq","XM_023172142.1","putative inorganic phosphate cotransporter","c"
"TU5503",20165.5229691427,1.86737740317115,0.358666568409592,5.9962017019627e-09,1.88967115372786e-07,"LOC111517846","G3048","hydroxysteroid dehydrogenase-like protein 1","refseq","XR_002723867.1","hydroxysteroid dehydrogenase-like protein 1, transcript variant X6","="
"TU37882",2175.67779525778,0.704337616851972,0.254541454972089,0.000994850184292048,0.00818168798510288,"LOC111513924","G21851","apoptotic chromatin condensation inducer in the nucleus","refseq","XM_023170142.1","apoptotic chromatin condensation inducer in the nucleus, transcript variant X2","k"
"TU37883",334.722124106411,1.56424004369254,0.743173170117684,0.00100408437784868,0.00823841094212478,"LOC111513924","G21851","apoptotic chromatin condensation inducer in the nucleus","refseq","XM_023170143.1","apoptotic chromatin condensation inducer in the nucleus, transcript variant X3","="
"TU6852",6103.65791654011,0.706784042201836,0.205479083407007,9.74603260952983e-05,0.00112642530195757,"LOC111501843","G3782","protein amalgam-like","refseq","XM_023155758.1","protein amalgam-like","j"
"TU6850",62.4030402504979,1.8376666408993,0.576794358490115,3.24450584455748e-05,0.00043228656328724,"LOC111501844","G3781","uncharacterized LOC111501844","refseq","XR_002721656.1","uncharacterized LOC111501844","="
"TU6851",9879.32571410141,0.785770905634627,0.313402986877582,0.00169765254790612,0.0127426326800902,"LOC111501843","G3782","protein amalgam-like","refseq","XM_023155758.1","protein amalgam-like","j"
"TU31113",25.8708480412845,-8.72470559734739,1.68876438399138,4.24012616275723e-08,1.10693770622387e-06,NA,"G17660","* hypothetical protein JTB14_009219","novel","KAG5895508","hypothetical protein JTB14_009219","r"
"TU41856",197.554607157204,-15.6946884164821,4.65349589060915,3.9701715246587e-05,0.000515898589501889,"LOC111515557","G24460","uncharacterized LOC111515557","refseq","XM_023171775.1","uncharacterized LOC111515557","j"
"TU41857",2124.49518401852,0.605101473063497,0.146016397079698,8.57338620076691e-06,0.000134069019790533,"LOC111515558","G24461","THO complex subunit 1-like","refseq","XM_023171776.1","THO complex subunit 1-like","j"
"TU32837",168.042714326245,0.609640770171577,0.265536615680197,0.00544955094879808,0.0328784542007817,"LOC111512035","G18749","thioredoxin-like protein 4A","refseq","XM_023168127.1","thioredoxin-like protein 4A, transcript variant X2","="
"TU28649",39479.2644126077,-10.8723551666016,1.79851185635501,8.92844364323733e-10,3.40165893672961e-08,"LOC111510333","G16196","cuticle protein 64-like","refseq","XM_023166234.1","cuticle protein 64-like, transcript variant X1","="
"TU7164",88408.3335991406,0.66554756575964,0.232209225761717,0.000834592532897163,0.00706224167055911,"LOC111501988","G3984","60S ribosomal protein L17","refseq","XM_023155931.1","60S ribosomal protein L17","="
"TU7160",411.261392114077,0.857301964618425,0.297235493184152,0.000432535671175319,0.00401637339004197,"LOC111501982","G3981","syntaxin-1A","refseq","XM_023155920.1","syntaxin-1A, transcript variant X2","j"
"TU11032",1493.82398586508,5.75423206159264,3.45264040688082,0.000425097984357024,0.00395762084510395,"LOC111503501","G6145","supervillin-like","refseq","XM_023157810.1","supervillin-like, transcript variant X1","="
"TU11030",85.2616232689576,1.04157145684108,0.541916761833582,0.00430935980388389,0.0273802715847993,"LOC111503503","G6144","serine/arginine repetitive matrix protein 1-like","refseq","XM_023157815.1","serine/arginine repetitive matrix protein 1-like","j"
"TU11034",5492.30598075428,-3.19425182223372,0.559720189547367,1.2574146054943e-10,5.84072063907566e-09,"LOC111503501","G6145","supervillin-like","refseq","XM_023157812.1","supervillin-like, transcript variant X2","c"
"TU14209",270.220193155836,-1.35805503097887,0.604909842862787,0.00102791705829606,0.00838328694683556,"LOC111504793","G7997","uncharacterized LOC111504793","refseq","XM_023159484.1","uncharacterized LOC111504793","m"
"TU30278",5.05283852135615,-16.2816173024569,4.15596149956047,1.24072498912952e-05,0.000186508368381264,"LOC111511012","G17166","organic cation transporter protein-like","refseq","XM_023167007.1","organic cation transporter protein-like","j"
"TU14207",3309.86436074864,-2.28474042675556,0.581946848050127,1.31857169794014e-06,2.51426482714227e-05,"LOC111504792","G7996","uncharacterized LOC111504792","refseq","XM_023159483.1","uncharacterized LOC111504792","="
"TU14204",7883.79708940552,-2.07890699008395,0.287754476654937,1.19645915133579e-14,1.23436801497285e-12,"LOC111504795","G7993","3-ketoacyl-CoA thiolase","refseq","XM_023159486.1","3-ketoacyl-CoA thiolase, mitochondrial-like","j"
"TU7815",8.88261049495377,2.52043440280549,2.76887815779554,0.0043618829946149,0.0276471118083775,"LOC111502247","G4349","cuticle protein-like","refseq","XM_023156263.1","cuticle protein-like","j"
"TU7814",24.1953204289113,-21.1492731019135,4.04952038861754,6.57250336570127e-08,1.64015545479919e-06,"LOC111502247","G4349","cuticle protein-like","refseq","XM_023156263.1","cuticle protein-like","="
"TU2362",2731.88663248448,0.847755315485331,0.284193048305933,0.000319012685020235,0.00311108788645107,"LOC111508852","G1276","poly(rC)-binding protein 3","refseq","XM_023164499.1","poly(rC)-binding protein 3, transcript variant X4","="
"TU2940",44.9488943741129,-2.59364899034661,1.04378798091312,0.000106341020116381,0.00121050910355477,"LOC111511596","G1581","cyclic nucleotide-gated cation channel beta-1-like","refseq","XM_023167635.1","cyclic nucleotide-gated cation channel beta-1-like, transcript variant X2","j"
"TU2949",4283.04218299879,-0.603366402772998,0.254749435588592,0.00458658520278307,0.0287378114575528,"LOC111511416","G1584","diacylglycerol O-acyltransferase 1","refseq","XM_023167432.1","diacylglycerol O-acyltransferase 1","j"
"TU33999",1391.55707052439,0.523870886840382,0.172625431505263,0.000847904228662483,0.00715326821185367,"LOC111512458","G19442","COMM domain-containing protein 5-like","refseq","XM_023168579.1","COMM domain-containing protein 5-like","j"
"TU3015",2097.66003793733,0.433629470050129,0.116929156140785,0.00010554661633669,0.00120321301159163,"LOC111511965","G1619","uncharacterized LOC111511965","refseq","XR_002723005.1","uncharacterized LOC111511965","="
"TU3017",255.442666029174,-0.768674188991317,0.396627946553281,0.00817754389052576,0.0454810153240163,"LOC111511973","G1621","uncharacterized LOC111511973","refseq","XM_023168057.1","uncharacterized LOC111511973","="
"TU26297",8855.26053046334,0.458267463539754,0.187950811075196,0.00654887463423666,0.038092296908103,"LOC111509458","G14833","zinc finger protein 706-like","refseq","XM_023165218.1","zinc finger protein 706-like, transcript variant X3","="
"TU8951",130.717519045101,22.1105679100778,3.57716153162749,2.32854324452326e-10,1.02455902759023e-08,"LOC111502719","G5009","zinc finger and BTB domain-containing protein 24-like","refseq","XM_023156863.1","zinc finger and BTB domain-containing protein 24-like, transcript variant X1","="
"TU8955",216.189691133482,24.022215651583,2.26103196506849,7.38857789791599e-27,4.07974377337885e-24,"LOC111502719","G5009","zinc finger and BTB domain-containing protein 24-like","refseq","XM_023156864.1","zinc finger and BTB domain-containing protein 24-like, transcript variant X2","j"
"TU9605",173.114654883228,-1.50089116343576,0.923698631838911,0.0031722058902962,0.021287771263809,"LOC111502947","G5369","alpha-tocopherol transfer protein-like","refseq","XM_023157137.1","alpha-tocopherol transfer protein-like, transcript variant X2","j"
"TU32311",40110.6649003703,-0.3715782393067,0.150794344420632,0.00817859745728855,0.0454810153240163,"LOC111511813","G18415","bax inhibitor 1","refseq","XM_023167830.1","bax inhibitor 1","="
"TU20923",440.780734923341,1.17119290355267,0.429688413596628,0.000381575514637638,0.00360899553096597,"LOC111507373","G11744","protein phosphatase PHLPP-like protein","refseq","XM_023162671.1","protein phosphatase PHLPP-like protein","c"
"TU39090",73.0836344639227,21.4221257185379,3.98988601515827,2.94313139530534e-08,8.023819417354e-07,"LOC111514411","G22616","proline-rich extensin-like protein EPR1","refseq","XM_023170650.1","proline-rich extensin-like protein EPR1","j"
"TU12155",256.533165666077,-2.15145419003585,0.882563927099278,0.000190371702461877,0.00200681156851719,"LOC111503962","G6797","clavesin-1-like","refseq","XM_023158413.1","clavesin-1-like, transcript variant X1","="
"TU12154",1407.96148563252,-1.11219457108899,0.542283981563408,0.00271038035151499,0.0187535741794553,"LOC111503959","G6796","clavesin-1-like","refseq","XM_023158409.1","clavesin-1-like, transcript variant X1","k"
"TU39322",7863.92582368729,0.560245342270618,0.120470474696881,1.0194484693369e-06,1.99832288959419e-05,"LOC111514502","G22770","heparan-alpha-glucosaminide N-acetyltransferase-like","refseq","XM_023170738.1","heparan-alpha-glucosaminide N-acetyltransferase-like","k"
"TU39329",121065.605144237,0.439732756119395,0.160317458282408,0.00293044070201494,0.0199418499013702,"LOC111514553","G22773","60S ribosomal protein L7","refseq","XM_023170814.1","60S ribosomal protein L7","="
"TU29572",6.31395160561938,2.06830297595127,2.32754727406749,0.00579393053605363,0.0345468064996877,NA,"G16746","* uncharacterized protein LOC108907343","novel","XP_018566539","uncharacterized protein LOC108907343","u"
"TU27522",56.0178507005384,2.46759053886184,1.35251959215558,0.000577986229610034,0.00514368991197711,"LOC111509923","G15531","uncharacterized LOC111509923","refseq","XR_002722701.1","uncharacterized LOC111509923, transcript variant X1","="
"TU15310",1443.94029351525,1.23033894526669,0.290505786941001,1.38727456516597e-06,2.62737739385345e-05,"LOC111505241","G8641","zinc finger RNA-binding protein-like","refseq","XM_023160017.1","zinc finger RNA-binding protein-like, transcript variant X2","j"
"TU38249",201.19396191638,-1.43901286986441,0.844909341632859,0.00304266095999885,0.0205875872067302,"LOC111514077","G22080","uncharacterized LOC111514077","refseq","XR_002723302.1","uncharacterized LOC111514077","="
"TU45170",70.2428492018115,-0.637020836143212,0.234619999197786,0.00148900506382518,0.0114236701609007,"LOC111517017","G26893","uncharacterized LOC111517017","refseq","XR_002723773.1","uncharacterized LOC111517017","c"
"TU21969",3913.61095563784,-0.478379435168028,0.171384298546615,0.00219447748155395,0.0157337774665035,"LOC111507793","G12342","FAD synthase-like","refseq","XM_023163148.1","FAD synthase-like","="
"TU21966",4553.67313879579,-0.74577371846107,0.20823733000159,4.92467028873456e-05,0.000623600691213016,"LOC111507790","G12339","pyrimidodiazepine synthase-like","refseq","XM_023163145.1","pyrimidodiazepine synthase-like","j"
"TU21965",1257.18167275367,0.436061563818912,0.171863281131487,0.00539632373949142,0.0326415255806527,"LOC111507784","G12338","N-acetyltransferase 9-like protein","refseq","XM_023163139.1","N-acetyltransferase 9-like protein","="
"TU21961",954.411559193244,1.04287199987423,0.382783755939706,0.000483424900702551,0.00442085136625678,"LOC111507787","G12334","musculin-like","refseq","XM_023163143.1","musculin-like","="
"TU42809",336.65539994749,-4.75774608560366,1.06078035042838,3.92705361768775e-08,1.03518165019444e-06,"LOC111515954","G25103","protein obstructor-E-like","refseq","XM_023172148.1","protein obstructor-E-like","k"
"TU45175",128.142037109221,0.516884928287031,0.212179702207932,0.00528656998801121,0.0321474623561333,NA,"G26898","* ---NA---","novel",NA,"---NA---","u"
"TU42801",77.249009180569,2.14126884059593,0.376884781793104,2.84344785459476e-10,1.22634246085295e-08,"LOC111515950","G25096","multidrug resistance-associated protein 4-like","refseq","XM_023172143.1","multidrug resistance-associated protein 4-like","i"
"TU42806",2527.86256233059,-1.26956588989766,0.533502026128977,0.000853923713400466,0.0071978553558701,"LOC111515953","G25101","ATP-binding cassette sub-family G member 4-like","refseq","XM_023172147.1","ATP-binding cassette sub-family G member 4-like","="
"TU42804",416.269287460988,-0.948786157448413,0.337727452480828,0.000446650134460182,0.00412910646941284,NA,"G25099","* dual specificity protein kinase splB-like ","novel","XP_023024108","dual specificity protein kinase splB-like isoform X1","u"
"TU42805",114.076964886983,2.23254312816057,0.621591658652879,4.96074511848478e-06,8.18522944549988e-05,"LOC111515952","G25100","uncharacterized LOC111515952","refseq","XM_023172146.1","uncharacterized LOC111515952","="
"TU8560",2002.83173022836,1.01395530258405,0.212378007511645,1.31779612921906e-07,3.09173425792364e-06,"LOC111502552","G4767","KH domain-containing","refseq","XM_023156656.1","KH domain-containing, RNA-binding, signal transduction-associated protein 2, transcript variant X2","="
"TU8563",19256.9793887152,-1.8384409177382,0.478875965746765,3.21761510874314e-06,5.55474234227436e-05,"LOC111502555","G4769","cytochrome b-c1 complex subunit 7-like","refseq","XM_023156660.1","cytochrome b-c1 complex subunit 7-like","="
"TU8564",9236.57950573664,-0.756874091442879,0.177672384883197,2.72313337051334e-06,4.80457788738095e-05,"LOC111502548","G4770","trifunctional enzyme subunit beta","refseq","XM_023156651.1","trifunctional enzyme subunit beta, mitochondrial","="
"TU8567",1462.69290271848,-0.364628320650223,0.144751546619581,0.00717400364605663,0.0409566970933456,"LOC111502559","G4773","exosome complex component RRP41","refseq","XM_023156663.1","exosome complex component RRP41","="
"TU8568",2445.55215940562,-0.888657958622335,0.174056462685403,2.862408792516e-08,7.82551424698726e-07,"LOC111502563","G4774","dynein light chain roadblock-type 2","refseq","XM_023156674.1","dynein light chain roadblock-type 2","="
"TU23520",1125.1442299868,0.744764469768432,0.22982606104582,0.000176609079282279,0.00188146259352784,NA,"G13254","* flocculation protein FLO11-like ","novel","XP_023027802","flocculation protein FLO11-like isoform X1","u"
"TU849",52.2594010377269,-5.10463667311248,1.37568846690703,1.04418644703628e-06,2.0396754095471e-05,NA,"G440","* protein C-ets-1 ","novel","KAG5882200","protein C-ets-1 isoform X1","u"
"TU18341",1154.48852655445,1.39791677382745,1.14557759349051,0.00763794103884066,0.0430412304853686,NA,"G10296","* probable ubiquitin carboxyl-terminal hydrolase FAF-X","novel","KAG5895508","probable ubiquitin carboxyl-terminal hydrolase FAF-X","u"
"TU18347",78.4688993048198,-5.70094521088869,1.72472885727684,5.24984884900811e-06,8.5935312850319e-05,NA,"G10299","* ---NA---","novel",NA,"---NA---","r"
"TU18344",3487.70454847044,-4.71873303449987,0.57726200577387,1.72930558242871e-18,3.33968946076527e-16,"LOC111506369","G10297","ornithine aminotransferase","refseq","XM_023161419.1","ornithine aminotransferase, mitochondrial-like","="
"TU28717",487.599072486313,-1.14566887296916,0.541901464436842,0.00216163924226489,0.0155210448450096,NA,"G16241","* centromere protein F-like","novel","VEN47585","centromere protein F-like","u"
"TU28715",11.0990501472488,-18.3618578442416,4.14434984072991,2.65334057163747e-06,4.69411388855935e-05,"LOC111510368","G16240","SUN domain-containing protein 2-like","refseq","XM_023166277.1","SUN domain-containing protein 2-like, transcript variant X1","j"
"TU28712",326.745487721086,-1.1969782186417,0.459412048828469,0.00052019706373532,0.0047044534456008,"LOC111510371","G16239","trypsin-1-like","refseq","XM_023166279.1","trypsin-1-like","j"
"TU28711",502.147250999858,-6.16702344323276,1.64496876559563,1.5742510066605e-06,2.95014036640144e-05,"LOC111510371","G16239","trypsin-1-like","refseq","XM_023166279.1","trypsin-1-like","c"
"TU28719",72.2334740163122,1.6880178592622,0.279393316217599,7.0430202225118e-11,3.48189867343446e-09,"LOC111510372","G16242","uncharacterized LOC111510372","refseq","XM_023166280.1","uncharacterized LOC111510372","="
"TU14445",648.407428811725,-0.938663539533069,0.171476420111771,3.44803927567854e-09,1.14556721833645e-07,"LOC111504886","G8122","autophagy protein 5","refseq","XM_023159592.1","autophagy protein 5","="
"TU11547",1098.7899977778,-0.65043655789848,0.234426662396066,0.00117894884993618,0.00940376616742582,"LOC111503709","G6442","ralA-binding protein 1-like","refseq","XM_023158081.1","ralA-binding protein 1-like","n"
"TU11545",84.9258762994573,0.751329479750931,0.269891778568022,0.00080838832205695,0.00687165129616666,NA,"G6440","* ---NA---","novel",NA,"---NA---","u"
"TU11548",37.6829680711078,22.3368450389934,3.98718197772984,7.3812039973893e-09,2.3002601074217e-07,"LOC111503709","G6442","ralA-binding protein 1-like","refseq","XM_023158081.1","ralA-binding protein 1-like","j"
"TU7385",163.090522059581,1.30499261168138,0.372591416257339,2.37002856023336e-05,0.000330069625845074,"LOC111502060","G4113","probable protein S-acyltransferase 23","refseq","XM_023156024.1","probable protein S-acyltransferase 23","c"
"TU13941",22.2371158529335,-3.61741329627527,1.00835649669624,1.8813651013125e-06,3.45304482358873e-05,"LOC111504689","G7844","elongation of very long chain fatty acids protein AAEL008004-like","refseq","XM_023159364.1","elongation of very long chain fatty acids protein AAEL008004-like","x"
"TU13940",3806.75854533821,-3.34393511296507,0.772787132287939,1.20289002839861e-07,2.84427627704096e-06,"LOC111504689","G7843","elongation of very long chain fatty acids protein AAEL008004-like","refseq","XM_023159364.1","elongation of very long chain fatty acids protein AAEL008004-like","="
"TU14996",756.996774957201,-0.690640771010602,0.217180910505379,0.000265341591846896,0.00265775466703263,"LOC111505113","G8451","E3 ubiquitin-protein ligase Ubr3","refseq","XM_023159869.1","E3 ubiquitin-protein ligase Ubr3","o"
"TU14999",375.81799625008,24.1737372588832,3.98584992091345,3.90511102216742e-10,1.61664173720223e-08,"LOC111505116","G8453","translation factor GUF1 homolog","refseq","XM_023159871.1","translation factor GUF1 homolog, mitochondrial","k"
"TU30761",41.965249865087,-4.54488643632899,4.83101650637081,0.0034139010737576,0.0225964169670088,"LOC111511200","G17456","putative inorganic phosphate cotransporter","refseq","XM_023167211.1","putative inorganic phosphate cotransporter, transcript variant X2","="
"TU6264",2079.17006699789,-1.05096182592794,0.337693365682211,0.000134720116116961,0.0014852551834222,"LOC111518131","G3456","zinc finger protein 99-like","refseq","XM_023174486.1","zinc finger protein 99-like","="
"TU34771",14996.094019723,-1.37116794724672,0.692469978794022,0.00190032418639479,0.0139749220415347,"LOC111512746","G19906","dentin sialophosphoprotein-like","refseq","XM_023168896.1","dentin sialophosphoprotein-like","="
"TU33178",326.454958078324,0.534282180222923,0.23104668031893,0.00689173189602589,0.0397095028294825,NA,"G18953","* ---NA---","novel",NA,"---NA---","u"
